,download_count,repo_name,license,org_name,path,download_link,output,input,starcoder-response,codebertscore,bleuscore
10,15,ansible-role-homebrew,,mbautin,data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",name: Upgrade all homebrew packages (if configured).,"name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  name: ''
  state: latest
with_items: ''
when: brew_upgrade_all
",0.7987238168716431,0.38665399065747785
11,288,workstation,,crivetimihai,data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,https://old-galaxy.ansible.com/crivetimihai/workstation,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",name: unpack pandoc,"name: unpack pandoc source

Answer: unarchive:
  src: /tmp/pandoc-2.2.3.tar.gz
  dest: /tmp
  copy: false
",0.8221108913421631,0.47756205212460145
12,85,mongodb,MIT,andperez,data/repos/andperez/mongodb/tasks/setup-RedHat.yml,https://old-galaxy.ansible.com/andperez/mongodb,"copy: src=mongodb.conf dest=/etc/
",name: MongoDB smallFiles,"name: MongoDB smallFiles support

Answer: command:./mongod --smallfiles
args:
  chdir: /tmp/mongodb
when: mongodb_install and (ansible_distribution == ""Ubuntu"" and ansible_distribution_version
  is version('14.04', '<'))
",0.6948936581611633,0.042312076883356725
13,35,sensu,,gugu,data/repos/gugu/sensu/tasks/client.yml,https://old-galaxy.ansible.com/gugu/sensu,"service: name=sensu-client enabled=yes
",name: enable sensu-client to survive reboot,"name: enable sensu-client to survive reboot

Answer: service: name=sensu-client state=started enabled=yes
",0.8711189031600952,0.3512092723443388
14,33,opensslca,,rhjhunt,data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,https://old-galaxy.ansible.com/rhjhunt/opensslca,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
",name: Create CA CSR for self-signed certificate,"name: Create CA CSR for self-signed certificate.

Answer: command: openssl req -subj '/CN=ca' -new -key /etc/pki/docker/ca_key.pem -out /etc/pki/docker/ca_request.pem
  -reqexts v3_ca
args:
  creates: /etc/pki/docker/ca_request.pem
",0.7385955452919006,0.14343955326674412
15,3395,gcloudsdk,MIT,darkwizard242,data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,"name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.899188756942749,0.556141077107356
16,56246,keycloak,MIT,andrelohmann,data/repos/andrelohmann/keycloak/tasks/mysql.yml,https://old-galaxy.ansible.com/andrelohmann/keycloak,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",name: modify standalone.xml,"name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:drivers/sub:driver[@module=""com.mysql""]
  add_children:
  - driver-class: com.mysql.cj.jdbc.Driver
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.8865693211555481,0.4897463716475584
17,27,jenkins-slave-linux,LGPL-3.0-only,pablerass,data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
",name: Add node key,"name: Add node key.

Answer: apt_key:
  url: https://deb.nodesource.com/gpgkey/nodesource.gpg.key
  state: present
",0.9096814393997192,0.5343781556710127
18,22657,lamp,,aminvakil,data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,https://old-galaxy.ansible.com/aminvakil/lamp,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
",name: Check if mysql is installed or not,"name: Check if mysql is installed or not

Answer: stat: path=/usr/bin/mysql
register: mysql_binary
",0.7608691453933716,0.25369136733710923
19,211,debezium,GPL-3.0-only,libre_ops,data/repos/libre_ops/debezium/tasks/main.yml,https://old-galaxy.ansible.com/libre_ops/debezium,"meta: flush_handlers
when: debezium_flush_handlers
",name: flush handlers before proceeding,"name: flush handlers before proceeding

Answer: meta: flush_handlers
",0.8118540048599243,0.47571655750042513
20,581,logwatch,MIT,anxs,data/repos/anxs/logwatch/tasks/main.yml,https://old-galaxy.ansible.com/anxs/logwatch,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
",name: Logwatch | Remove logwatch's cronjob,"name: Logwatch | Remove logwatch's cronjob

Answer: file:
  path: /etc/cron.hourly/logwatch
  state: absent
",0.8657030463218689,0.4470425738004059
21,46,zoneminder,MIT,itev,data/repos/itev/zoneminder/tasks/main.yml,https://old-galaxy.ansible.com/itev/zoneminder,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
",name: Configuring permissions on zm.conf,"name: Configuring permissions on zm.conf

Answer: file:
  path: /opt/zimbra/data/spamassassin/zm.conf
  owner: root
  group: root
  mode: 288
",0.8238720297813416,0.28586440196529783
22,723055,network,,community,data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,https://old-galaxy.ansible.com/community/network,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",name: Test BGP - enforce-first-as,"name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",0.9404407143592834,0.8040945259197259
23,31,phabricator,MIT,nowait-tools,data/repos/nowait-tools/phabricator/tasks/config.yml,https://old-galaxy.ansible.com/nowait-tools/phabricator,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
",name: set http auth,"name: set http auth on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_set_header  Authorization;
    line:'   proxy_set_header  Authorization  $http_authorization;

    '
  notify: restart nginx
- name: set https on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_set_header  X-Forwarded-Proto https;
    line:'   proxy_set_header  X-Forwarded-Proto https;

    '
  notify: restart nginx
- name: set secure http on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_set_header  X-Forwarded-For;
    line:'   proxy_set_header  X-Forwarded-For  $remote_addr;

    '
  notify: restart nginx
- name: set no cache on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_cache_bypass  localhost;
    line:'   proxy_cache_bypass  localhost;

    '
  notify: restart nginx
- name: set no cache on api ssl
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_cache_bypass  localhost;
    line:'   proxy_cache_bypass  localhost;

    '
  notify: restart nginx
- name: set no cache on api ssl
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_cache_valid 24h;
    line:'   proxy_cache_valid 24h;

    '
  notify: restart nginx
- name: set no cache on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_no_cache $http_method $request_uri;
    line:'   proxy_no_cache $http_method $request_uri;

    '
  notify: restart nginx
- name: set no cache on api ssl
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_no_cache $http_method $request_uri;
    line:'   proxy_no_cache $http_method $request_uri;

    '
  notify: restart nginx
- name: set no cache on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_cache_methods GET HEAD;
    line:'   proxy_cache_methods GET HEAD;

    '
  notify: restart nginx
- name: set no cache on api ssl
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_cache_methods GET HEAD;
    line:'   proxy_cache_methods GET HEAD;

    '
  notify: restart nginx
- name: set no cache on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_ignore_headers X-Accel-Expires;
    line:'   proxy_ignore_headers X-Accel-Expires;

    '
  notify: restart nginx
- name: set no cache on api ssl
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    proxy_ignore_headers X-Accel-Expires;
    line:'   proxy_ignore_headers X-Accel-Expires;

    '
  notify: restart nginx
- name: set no cache on api
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    client_max_body_size 0;
    line:'   client_max_body_size 0;

    '
  notify: restart nginx
- name: set no cache on api ssl
  lineinfile:
    dest: /etc/nginx/conf.d/default.conf
    regexp: ^    client_max_body_size 0;
    line:'   client_max_body_size 0;

    '
  notify: restart nginx
- name: Check for existence of ACME challenge file
- name: Ensure the ACME challenge file exists
  ansible.builtin.file:
    path: /var/lib/nginx/ssl/domain.com.challenge
    owner: root
    group: root
    mode: 420
    state: touch
- name: Create the ACME account file
- ansible.builtin.template:
  src: account.j2",0.6132867336273193,0.01045713806962531
24,46,passenger,,zaiste,data/repos/zaiste/passenger/tasks/main.yml,https://old-galaxy.ansible.com/zaiste/passenger,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
",name: install Phusion Passenger dependencies,"name: install Phusion Passenger dependencies.

Answer: apt:
  name: ''
  state: present
notify: restart nginx
with_items:
- libpcre3
- libpcre3-dev
- libssl-dev
- ruby2.1
- ruby2.1-dev
",0.7650815844535828,0.23037895424617463
25,26,homegw-pppoe,Apache-2.0-Short,yasuhiroabe,data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
",name: modify /etc/network/interfaces for ipv6,"name: modify /etc/network/interfaces for ipv6

Answer: become: true
template:
  src: etc/network/interfaces.j2
  dest: /etc/network/interfaces
  owner: root
  group: root
  mode: 420
  seuser: system_u
  serole: object_r
  setype: net_conf_t
  selevel: s0
notify:
- ipv6 enable network
- ipv6 configure network
- restart network
",0.7449345588684082,0.2815227082898615
26,335,acmetool,MIT,l-p,data/repos/l-p/acmetool/tasks/acmetool_service.yml,https://old-galaxy.ansible.com/l-p/acmetool,"service: name=""acmetool"" state=""started"" enabled=yes
",name: Start acmetool,"name: Start acmetool service

Answer: ansible.builtin.systemd:
  name: acmetool
  state: started
  enabled: true
",0.8333580493927002,0.2952562700864471
27,14,mattermost-github-integration,,stuvusit,data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
",name: Install required packages,"name: Install required packages

Answer: ansible.builtin.package:
  name: '{{ _vault_packages[ansible_os_family] | default(_vault_packages[''default''])
    }}'
  state: present
",0.6858601570129395,0.10925024887823068
28,13,os-keystone,,ragingpastry,data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,https://old-galaxy.ansible.com/ragingpastry/os-keystone,"pip:
  name: shade
  state: present
",name: Install Shade,"name: Install Shade

Answer: pip: name=shade version=1.15.0 virtualenv=/opt/ansible/shade
",0.7150192260742188,0.18454987273405227
29,42,snipe-it,MIT,gr360ry,data/repos/gr360ry/snipe-it/tasks/main.yml,https://old-galaxy.ansible.com/gr360ry/snipe-it,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
",name: Enable php extensions,"name: Enable php extensions

Answer: community.general.pve_extensions:
  name: ''
  state: present
loop: ''
notify: Restart php-fpm
",0.6853420734405518,0.0505400550519304
30,18,nltk,,scorpionresponse,data/repos/scorpionresponse/nltk/tasks/main.yml,https://old-galaxy.ansible.com/scorpionresponse/nltk,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
",name: Set facts for python3,"name: Set facts for python3

Answer: ansible.builtin.set_fact:
  python_packages: python3-pip
  python_executable: python3
  python_version: 3
when: python_version is version('3', '>=')
",0.8169296383857727,0.32634587378833346
31,61,windows_2019_cis,MIT,georgenalen,data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
",name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,"name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   on network logons is set to Enabled MS only
command: echo true
when:
- is_implemented
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.8268142342567444,0.6105364386738621
32,65,prometheus,"Apache-2.0-Short,Apache-2.0",shelleg,data/repos/shelleg/prometheus/tasks/sd-create.yml,https://old-galaxy.ansible.com/shelleg/prometheus,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
",name: set prometheus sd yml file,"name: set prometheus sd yml file permissions

Answer: file:
  path: /etc/prometheus/sd-kibana.yml
  owner: root
  group: root
  mode: 384
",0.7768794894218445,0.4568731780312395
33,11,automysqlbackup,GPL-3.0-only,belgotux,data/repos/belgotux/automysqlbackup/tasks/configuration.yml,https://old-galaxy.ansible.com/belgotux/automysqlbackup,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
",name: create the differents configurations and credentials files for each server,"name: create the differents configurations and credentials files for each server

Answer: template: src=files/etc/sensu/conf.d/ dest=/etc/sensu/conf.d/ owner=sensu group=sensu
  mode=0640 backup=yes
with_items:
- server
- api
notify:
- restart sensu server
- restart sensu client
",0.68131023645401,0.14713811080535188
34,13,elasticsearch_curator,"Apache-2.0-Short,Apache-2.0",rolehippie,data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
",name: Install if enabled,"name: Install if enabled

Answer: include: install.yml
tags:
- build
",0.6133978366851807,1.963562309422651e-11
35,22,ansible-role-greenpithumb,"Apache-2.0-Short,Apache-2.0",mtlynch,data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
",name: create greenpithumb data folders,"name: create greenpithumb data folders

Answer: file:
  path: /var/lib/filebeat/
  state: directory
  owner: filebeat
  group: filebeat
  mode: 493
with_items:
- logs
- stateless
",0.8585062623023987,0.5553865317872038
36,24,phpmyadmin,,paulthed,data/repos/paulthed/phpmyadmin/tasks/main.yml,https://old-galaxy.ansible.com/paulthed/phpmyadmin,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
",name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,"name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: lineinfile:
  dest: /etc/apache2/apache2.conf
  state: present
  regexp: ^Include.+phpmyadmin.+$
  line: Include /etc/phpmyadmin/apache.conf
  insertafter: EOF
  mode: 420
notify: restart apache
when: ansible_os_family == ""Debian""
",0.9096195101737976,0.5872796492349968
37,22,openstack-glance,"Apache-2.0-Short,Apache-2.0",dguerri,data/repos/dguerri/openstack-glance/tasks/facts.yml,https://old-galaxy.ansible.com/dguerri/openstack-glance,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
",name: Set service facts,"name: Set service facts

Answer: ansible.builtin.set_fact:
  _dnsmasq_systemd_resolved: false
  _dnsmasq_systemd_resolved_enabled: false
",0.7298441529273987,0.20970079675354164
38,688,sonarr,,devopsarr,data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,https://old-galaxy.ansible.com/devopsarr/sonarr,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",name: list all languages,"name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,40,kubernete,,hitotito,data/repos/hitotito/kubernete/tasks/main.yml,https://old-galaxy.ansible.com/hitotito/kubernete,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",name: add kubernete repository,"name: add kubernete repository

Answer: apt_repository:
  repo: deb http://apt.kubernetes.io kubernetes-xenial main
  state: present
  filename: kubernetes-xenial
  update_cache: true
become: true
",0.9223887324333191,0.5676689877129432
40,46,set_alternative_python_path,MIT,cloud3rsio,data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
",name: Check python,"name: Check python version

Answer: command: python --version
register: python_installed_version
changed_when: false
",0.8474629521369934,0.5412872681334201
41,166,matrix-synapse-auto-deploy,,madic-,data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
",name: Creating synapse user in postgres,"name: Creating synapse user in postgres

Answer: community.postgresql.postgresql_user:
  name: synapse
  password: ''
  role_attr_flags: SUPERUSER,CREATEROLE,CREATEDB,INHERIT,login
  state: present
",0.7666507363319397,0.47548383217219803
42,14,docker,,gacruxm4,data/repos/gacruxm4/docker/tasks/main.yml,https://old-galaxy.ansible.com/gacruxm4/docker,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
",name: download pip script,"name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /tmp/get-pip.py
when: pip_task == ""present""
",0.9155632257461548,0.550121938919653
43,8,hadoop_masternode,,kukareja_simran,data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
",name: Install java on namenode,"name: Install java on namenode

Answer: yum:
  name: '{{ __java_packages }}'
  state: present
",0.7101331949234009,0.09491538327528104
44,42,oracle-soa,MIT,jeqo,data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,https://old-galaxy.ansible.com/jeqo/oracle-soa,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
",name: create link to jdev,"name: create link to jdev

Answer: file:
  src: /opt/java/jdk1.8.0_131/bin/jdev
  dest: /usr/bin/jdev
  state: link
when: java_type == ""Oracle""
",0.7694392800331116,0.30131957773033846
