,license,path,download_link,repo_name,input,download_count,org_name,output,starcoder-response,codebertscore,bleuscore
10,,data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,ansible-role-homebrew,name: Upgrade all homebrew packages (if configured).,15,mbautin,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
","name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  name: '*'
  state: latest
notify: brew update
when: brew_upgrade
",0.7912485599517822,0.37973572077532736
11,,data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,https://old-galaxy.ansible.com/crivetimihai/workstation,workstation,name: unpack pandoc,288,crivetimihai,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
","name: unpack pandoc

Answer: become: true
unarchive:
  src: /tmp/pandoc-2.10.2.tar.gz
  dest: /usr/local/bin
  extra_opts:
  - --strip-components=1
  - --wildcards
  - '**/*.md'
  remote_src: true
  owner: root
  group: root
",0.8672453165054321,0.48481936486080646
12,MIT,data/repos/andperez/mongodb/tasks/setup-RedHat.yml,https://old-galaxy.ansible.com/andperez/mongodb,mongodb,name: MongoDB smallFiles,85,andperez,"copy: src=mongodb.conf dest=/etc/
","name: MongoDB smallFilesEnabled
  value: true
  state: present
notify: restart mongodb
",0.6759282946586609,0.11198009783795539
13,,data/repos/gugu/sensu/tasks/client.yml,https://old-galaxy.ansible.com/gugu/sensu,sensu,name: enable sensu-client to survive reboot,35,gugu,"service: name=sensu-client enabled=yes
","name: enable sensu-client to survive reboots

Answer: service: name=sensu-client enabled=yes
",0.8831794261932373,0.40968440994403565
14,,data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,https://old-galaxy.ansible.com/rhjhunt/opensslca,opensslca,name: Create CA CSR for self-signed certificate,33,rhjhunt,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
","name: Create CA CSR for self-signed certificate

Answer: command: openssl req -subj '/CN=ca' -sha256 -new -key {{ dds_system_tmp }}/ansible_dds/ca-key.pem
  -out {{ dds_system_tmp }}/ansible_dds/ca.csr
",0.7173799872398376,0.10905426940904796
15,MIT,data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,gcloudsdk,name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,3395,darkwizard242,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
","name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.899188756942749,0.556141077107356
16,MIT,data/repos/andrelohmann/keycloak/tasks/mysql.yml,https://old-galaxy.ansible.com/andrelohmann/keycloak,keycloak,name: modify standalone.xml,56246,andrelohmann,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
","name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:pool
  add_children:
  - min-pool-size: '5'
  - max-pool-size: '15'
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.9036795496940613,0.5684987500319033
17,LGPL-3.0-only,data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,jenkins-slave-linux,name: Add node key,27,pablerass,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
","name: Add node key

Answer: apt_key:
  url: https://deb.nodesource.com/gpgkey/nodesource.gpg.key
  state: present
",0.910438060760498,0.5391286508685107
18,,data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,https://old-galaxy.ansible.com/aminvakil/lamp,lamp,name: Check if mysql is installed or not,22657,aminvakil,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
","name: Check if mysql is installed or not

Answer: package:
  name: mysql-server
  state: present
",0.6951718330383301,0.1382980943503645
19,GPL-3.0-only,data/repos/libre_ops/debezium/tasks/main.yml,https://old-galaxy.ansible.com/libre_ops/debezium,debezium,name: flush handlers before proceeding,211,libre_ops,"meta: flush_handlers
when: debezium_flush_handlers
","name: flush handlers before proceeding

Answer: meta: flush_handlers
",0.8118540048599243,0.47571655750042513
20,MIT,data/repos/anxs/logwatch/tasks/main.yml,https://old-galaxy.ansible.com/anxs/logwatch,logwatch,name: Logwatch | Remove logwatch's cronjob,581,anxs,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
","name: Logwatch | Remove logwatch's cronjob

Answer: become: true
file:
  path: /usr/local/sbin/logwatch
  state: absent
when: logwatch_cron_enabled
",0.8135450482368469,0.28315173246344666
21,MIT,data/repos/itev/zoneminder/tasks/main.yml,https://old-galaxy.ansible.com/itev/zoneminder,zoneminder,name: Configuring permissions on zm.conf,46,itev,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
","name: Configuring permissions on zm.conf

Answer: ansible.builtin.file:
  path: /etc/zimbra/zm.conf
  owner: zimbra
  group: zimbra
  mode: '0644'
",0.8141674399375916,0.28620227090069306
22,,data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,https://old-galaxy.ansible.com/community/network,network,name: Test BGP - enforce-first-as,723055,community,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
","name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1='' bgpArg2=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as'', ''bgpArg2'': 333}'
",0.9281310439109802,0.7041749860777511
23,MIT,data/repos/nowait-tools/phabricator/tasks/config.yml,https://old-galaxy.ansible.com/nowait-tools/phabricator,phabricator,name: set http auth,31,nowait-tools,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
","name: set http auth for yum

Answer: when: yum_proxy_username is defined and yum_proxy_password is defined
lineinfile:
  dest: /etc/yum.conf
  regexp: ^proxy
  line: proxy=
  mode: u=rw,g=r,o=r
tags: proxy
",0.7014443874359131,0.12271419006661763
24,,data/repos/zaiste/passenger/tasks/main.yml,https://old-galaxy.ansible.com/zaiste/passenger,passenger,name: install Phusion Passenger dependencies,46,zaiste,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
","name: install Phusion Passenger dependencies

Answer: apt:
  name: ''
  state: present
with_items: libpcre3libpcre3-devlibssl-devlibcurl4-openssl-dev
",0.7365437150001526,0.20227239715703996
25,Apache-2.0-Short,data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,homegw-pppoe,name: modify /etc/network/interfaces for ipv6,26,yasuhiroabe,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
","name: modify /etc/network/interfaces for ipv6

Answer: lineinfile:
  dest: /etc/network/interfaces
  regexp: ^#?AddressFamily
  line: AddressFamily inet6
  state: present
become: true
notify: restart network
",0.7939047813415527,0.3734962908552777
26,MIT,data/repos/l-p/acmetool/tasks/acmetool_service.yml,https://old-galaxy.ansible.com/l-p/acmetool,acmetool,name: Start acmetool,335,l-p,"service: name=""acmetool"" state=""started"" enabled=yes
","name: Start acmetool service

Answer: ansible.builtin.systemd:
  name: acmetool
  state: started
  enabled: true
  daemon_reload: true
",0.8173354268074036,0.24659605631400075
27,,data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,mattermost-github-integration,name: Install required packages,14,stuvusit,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
","name: Install required packages

Answer: ansible.builtin.package:
  name: '{{ _squid_packages[ansible_os_family] | default(_squid_packages[''default''])
    }}'
  state: present
",0.6912161111831665,0.10925024887823068
28,,data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,https://old-galaxy.ansible.com/ragingpastry/os-keystone,os-keystone,name: Install Shade,13,ragingpastry,"pip:
  name: shade
  state: present
","name: Install Shade Plugin

Answer: shell: bin/plugin install shade -Des.path.conf=/etc/elasticsearch chdir=/usr/share/elasticsearch
when: es_version_major < 2 or es_shade_enabled
notify: restart elasticsearch
",0.6585004329681396,0.07214866130361389
29,MIT,data/repos/gr360ry/snipe-it/tasks/main.yml,https://old-galaxy.ansible.com/gr360ry/snipe-it,snipe-it,name: Enable php extensions,42,gr360ry,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
","name: Enable php extensions

Answer: shell: phpenmod  -v  -s  && phpenmod  -v  -i  && echo ''
args:
  chdir: /tmp/
  creates: /etc/php//cli/conf.d/20-phalcon.ini
with_items: ''
when: item.status is defined and item.status|lower == ""installed""
",0.6971025466918945,0.10905746162085511
30,,data/repos/scorpionresponse/nltk/tasks/main.yml,https://old-galaxy.ansible.com/scorpionresponse/nltk,nltk,name: Set facts for python3,18,scorpionresponse,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
","name: Set facts for python3

Answer: when:
- ansible_python_version is version('3', '>=')
set_fact:
  python_major_version: 3
",0.7638385891914368,0.34014255147202754
31,MIT,data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,windows_2019_cis,name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,61,georgenalen,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
","name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   on network logons is set to Enabled MS only
command: echo true
when:
- is_implemented
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.8268142342567444,0.6105364386738621
32,"Apache-2.0-Short,Apache-2.0",data/repos/shelleg/prometheus/tasks/sd-create.yml,https://old-galaxy.ansible.com/shelleg/prometheus,prometheus,name: set prometheus sd yml file,65,shelleg,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
","name: set prometheus sd yml file

Answer: template:
  src: prometheus-sd-file.yml.j2
  dest: /etc/prometheus/prometheus-sd-file.yml
  owner: prometheus
  group: prometheus
  mode: u=rw,g=r,o=r
",0.7897740602493286,0.45621255023447943
33,GPL-3.0-only,data/repos/belgotux/automysqlbackup/tasks/configuration.yml,https://old-galaxy.ansible.com/belgotux/automysqlbackup,automysqlbackup,name: create the differents configurations and credentials files for each server,11,belgotux,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
","name: create the differents configurations and credentials files for each server

Answer: template:
  src: server_.j2
  dest: /etc/ldap/slapd.d/
  owner: root
  group: root
  mode: 420
with_items:
- server_base
- server_ldapi
- server_ldaps
",0.6826072931289673,0.15528623176221196
34,"Apache-2.0-Short,Apache-2.0",data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,elasticsearch_curator,name: Install if enabled,13,rolehippie,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
","name: Install if enabled

Answer: apt:
  name: ''
with_items:
- zsh
- git
become: true
when: sansible_zsh_oh_myzsh_install_zsh | default(false)
",0.6439409852027893,9.101090994429849e-06
35,"Apache-2.0-Short,Apache-2.0",data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,ansible-role-greenpithumb,name: create greenpithumb data folders,22,mtlynch,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
","name: create greenpithumb data folders

Answer: file:
  path: /var/log/greenpithumb
  state: directory
  owner: postgres
  group: postgres
  mode: 448
",0.8612027764320374,0.5548989680565527
36,,data/repos/paulthed/phpmyadmin/tasks/main.yml,https://old-galaxy.ansible.com/paulthed/phpmyadmin,phpmyadmin,name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,24,paulthed,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
","name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: ansible.builtin.template:
  src: templates/apache/phpmyadmin.conf.j2
  dest: /etc/apache2/sites-available/phpmyadmin.conf
  mode: '0644'
when: ansible_os_family == 'Debian'
",0.8103438019752502,0.43148256054780054
37,"Apache-2.0-Short,Apache-2.0",data/repos/dguerri/openstack-glance/tasks/facts.yml,https://old-galaxy.ansible.com/dguerri/openstack-glance,openstack-glance,name: Set service facts,22,dguerri,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
","name: Set service facts

Answer: ansible.builtin.service_facts: null
",0.7506008744239807,0.26234510566242186
38,,data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,https://old-galaxy.ansible.com/devopsarr/sonarr,sonarr,name: list all languages,688,devopsarr,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
","name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,,data/repos/hitotito/kubernete/tasks/main.yml,https://old-galaxy.ansible.com/hitotito/kubernete,kubernete,name: add kubernete repository,40,hitotito,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
","name: add kubernete repository

Answer: apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  filename: kubernetes
  update_cache: true
become: true
",0.9297233819961548,0.5989259550191371
40,MIT,data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,set_alternative_python_path,name: Check python,46,cloud3rsio,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
","name: Check python version

Answer: command: python --version
register: python_installed_version
changed_when: false
ignore_errors: true
",0.8854283690452576,0.5786549379698736
41,,data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,matrix-synapse-auto-deploy,name: Creating synapse user in postgres,166,madic-,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
","name: Creating synapse user in postgres

Answer: sudo: true
user:
  name: synapse
  comment: Synapse Admin Service
  shell: /bin/nologin
  createhome: false
  system: true
",0.755805253982544,0.34316383680946394
42,,data/repos/gacruxm4/docker/tasks/main.yml,https://old-galaxy.ansible.com/gacruxm4/docker,docker,name: download pip script,14,gacruxm4,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
","name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /tmp/get-pip.py
",0.9359413981437683,0.6895321832121761
43,,data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,hadoop_masternode,name: Install java on namenode,8,kukareja_simran,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
","name: Install java on namenode

Answer: yum: pkg=oracle-java8-installer state=present
",0.7495993375778198,0.11330553680151682
44,MIT,data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,https://old-galaxy.ansible.com/jeqo/oracle-soa,oracle-soa,name: create link to jdev,42,jeqo,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
","name: create link to jdev.jdev

Answer: file:
  src: /usr/java/latest/bin/jdev
  dest: /usr/java/latest/bin/jdev.jdev
  state: link
when: jdev_directory.stat.exists == True
",0.7822805643081665,0.25419535519618497
45,MIT,data/repos/dexhorthy/git/tasks/install_from_ppa.yml,https://old-galaxy.ansible.com/dexhorthy/git,git,name: Install from ppa | Install git | apt package,59,dexhorthy,"sudo: true
apt: pkg=git
","name: Install from ppa | Install git | apt package

Answer: apt:
  name: ''
  state: present
  update_cache: true
when: ansible_distribution == 'Ubuntu'
",0.7321640253067017,0.07319596511937708
46,BSD-3-Clause,data/repos/spk/syncthing-debian/tasks/main.yml,https://old-galaxy.ansible.com/spk/syncthing-debian,syncthing-debian,name: Add Syncthing repository,1532,spk,"apt_repository:
  repo: deb https://{{ syncthing_apt_repository_host }}/ syncthing release
  state: present
when: not syncthing_use_debian_repository
","name: Add Syncthing repository

Answer: apt_repository:
  repo: deb http://syncthing.net/downloads/linux/debian buster main
  state: present
  update_cache: true
when: ansible_os_family == ""Debian""
",0.8370650410652161,0.47615428321095243
47,,data/repos/softasap/sa-swagger-editor/tasks/tasks_nodejs.yml,https://old-galaxy.ansible.com/softasap/sa-swagger-editor,sa-swagger-editor,name: NodeJS | Check nodejs_version variable,15,softasap,"assert:
  that: nodejs_version in [ ""0.10"", ""0.12"", ""4.x"", ""5.x"" ]
when: ansible_os_family == ""Debian"" and node_present|failed
tags: -nodejs -setup
","name: NodeJS | Check nodejs_version variable

Answer: ansible.builtin.assert:
  that:
  - nodejs_version is defined
  - nodejs_version is string
  - nodejs_version is not none
  quiet: true
",0.7505210638046265,0.30885136702758825
48,MIT,data/repos/valentinzberea/supervisor/tasks/supervisor.yml,https://old-galaxy.ansible.com/valentinzberea/supervisor,supervisor,name: Install dependencies,77,valentinzberea,"apt: pkg=python-pip
when: ansible_os_family == 'Debian'
","name: Install dependencies

Answer: apt: pkg=
with_items:
- unzip
when: ansible_os_family == 'Debian'
become: true
become_method: sudo
",0.8122443556785583,0.35241806765953015
49,MIT,data/repos/olidrouin/packer_rhel/tasks/virtualbox.yml,https://old-galaxy.ansible.com/olidrouin/packer_rhel,packer_rhel,name: Mount VirtualBox guest additions ISO.,41,olidrouin,"mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
","name: Mount VirtualBox guest additions ISO.

Answer: mount:
  name: /tmp/vbox
  src: /home/industrial/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",0.9288379549980164,0.6357083687818141
50,,data/repos/youyo/zabbix40_agent/tasks/el7.yml,https://old-galaxy.ansible.com/youyo/zabbix40_agent,zabbix40_agent,name: Configurations,36,youyo,"template:
  src: zabbix_agentd.conf.j2
  dest: /etc/zabbix/zabbix_agentd.conf
  mode: 420
notify: restart_zabbix_agent_systemd
","name: Configurations

Answer: become: true
template:
  src: config.yaml.j2
  dest: /opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent.json
  mode: 420
notify: restart amazon-cloudwatch-agent
",0.8117281198501587,0.37046909194714456
