,repo_name,output,license,download_count,org_name,download_link,path,input,starcoder-response,codebertscore,bleuscore
14,opensslca,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
",,33,rhjhunt,https://old-galaxy.ansible.com/rhjhunt/opensslca,data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,name: Create CA CSR for self-signed certificate,"name: Create CA CSR for self-signed certificate.

Answer: command: openssl req -subj '/CN=ca' -new -keyout /etc/pki/docker/ca_key.pem -out
  /etc/pki/docker/ca.csr
when: not docker_register_self_signed_cert.stat.exists
",0.7403297424316406,0.13669727455523045
15,gcloudsdk,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",MIT,3395,darkwizard242,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,"name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.899188756942749,0.556141077107356
16,keycloak,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",MIT,56246,andrelohmann,https://old-galaxy.ansible.com/andrelohmann/keycloak,data/repos/andrelohmann/keycloak/tasks/mysql.yml,name: modify standalone.xml,"name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:security/sub:password
  value: keycloak
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.891200065612793,0.5196643643505742
17,jenkins-slave-linux,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
",LGPL-3.0-only,27,pablerass,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,name: Add node key,"name: Add node key

Answer: apt_key:
  url: https://deb.nodesource.com/gpgkey/nodesource.gpg.key
  state: present
",0.910438060760498,0.5391286508685107
18,lamp,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
",,22657,aminvakil,https://old-galaxy.ansible.com/aminvakil/lamp,data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,name: Check if mysql is installed or not,"name: Check if mysql is installed or not

Answer: stat:
  path: /usr/bin/mysql
register: mysql_installed
",0.7765328884124756,0.24207393144754205
19,debezium,"meta: flush_handlers
when: debezium_flush_handlers
",GPL-3.0-only,211,libre_ops,https://old-galaxy.ansible.com/libre_ops/debezium,data/repos/libre_ops/debezium/tasks/main.yml,name: flush handlers before proceeding,"name: flush handlers before proceeding
",0.7544281482696533,0.2872796469513096
20,logwatch,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
",MIT,581,anxs,https://old-galaxy.ansible.com/anxs/logwatch,data/repos/anxs/logwatch/tasks/main.yml,name: Logwatch | Remove logwatch's cronjob,"name: Logwatch | Remove logwatch's cronjob

Answer: cron: name=""Logwatch"" state=absent
when: logwatch_custom_cron_file.stat.exists
",0.7542803883552551,0.19394761587036127
21,zoneminder,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
",MIT,46,itev,https://old-galaxy.ansible.com/itev/zoneminder,data/repos/itev/zoneminder/tasks/main.yml,name: Configuring permissions on zm.conf,"name: Configuring permissions on zm.conf

Answer: file:
  path: /opt/zimbra/common/conf/zm.conf
  state: file
  mode: 420
  owner: root
  group: root
",0.8468536138534546,0.3179883511223519
22,network,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",,723055,community,https://old-galaxy.ansible.com/community/network,data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,name: Test BGP - enforce-first-as,"name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1='' bgpArg2=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as'', ''bgpArg2'': 333}'
",0.9281310439109802,0.7041749860777511
23,phabricator,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
",MIT,31,nowait-tools,https://old-galaxy.ansible.com/nowait-tools/phabricator,data/repos/nowait-tools/phabricator/tasks/config.yml,name: set http auth,"name: set http auth for yum

Answer: when: ansible_pkg_mgr == ""yum""
lineinfile:
  dest: /etc/yum.conf
  regexp: ^proxy
  line: proxy=
  mode: u=rw,g=r,o=r
tags: proxy
",0.7020159959793091,0.14388804633762672
24,passenger,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
",,46,zaiste,https://old-galaxy.ansible.com/zaiste/passenger,data/repos/zaiste/passenger/tasks/main.yml,name: install Phusion Passenger dependencies,"name: install Phusion Passenger dependencies

Answer: apt:
  name: libapache2-mod-passenger
  state: installed
",0.7153917551040649,0.1535838988367053
25,homegw-pppoe,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
",Apache-2.0-Short,26,yasuhiroabe,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,name: modify /etc/network/interfaces for ipv6,"name: modify /etc/network/interfaces for ipv6

Answer: ansible.builtin.lineinfile:
  dest: /etc/network/interfaces
  regexp: ^#?IPv6Address
  line: IPv6Address 2001:0db8:85a3:0000:0000:8a2e:0370:7334
  state: present
tags:
- configuration
- ipv6
",0.757859468460083,0.3189497842779205
26,acmetool,"service: name=""acmetool"" state=""started"" enabled=yes
",MIT,335,l-p,https://old-galaxy.ansible.com/l-p/acmetool,data/repos/l-p/acmetool/tasks/acmetool_service.yml,name: Start acmetool,"name: Start acmetool service

Answer: systemd:
  name: acmetool
  state: started
  enabled: true
when: acme.helper_install | bool
",0.8143344521522522,0.25619194645442217
27,mattermost-github-integration,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
",,14,stuvusit,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,name: Install required packages,"name: Install required packages

Answer: ansible.builtin.yum:
  name:
  - zstd
  - curl
  - wget
  - jq
  - dos2unix
  - doxygen
  - graphviz
  - texlive-latex
  - texlive-latex-bin
  - texlive-dvips
  - texlive-dvips-bin
  - texlive-cm
  - texlive-collection-fontsrecommended
  - ghostscript
  - rsync
  - bison
  - flex
  - gperf
  - diffutils
  - MariaDB
  - xorg-x11-utils
  - glx-utils
  - mesa-dri-drivers
  state: present
  use_backend: yum
become: true
",0.7225325107574463,0.08528132320856803
28,os-keystone,"pip:
  name: shade
  state: present
",,13,ragingpastry,https://old-galaxy.ansible.com/ragingpastry/os-keystone,data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,name: Install Shade,"name: Install Shade Plugin

Answer: shell: shade -p com.atlassian.plugin:com.atlassian.plugin.name=shade-maven-plugin -Dmaven.version=3.3.9
  -DinstallDirectory=/opt/atlassian/bin creates=/opt/atlassian/bin/shade-maven-plugin
register: shade_install
",0.6590756177902222,0.06388196594434535
29,snipe-it,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
",MIT,42,gr360ry,https://old-galaxy.ansible.com/gr360ry/snipe-it,data/repos/gr360ry/snipe-it/tasks/main.yml,name: Enable php extensions,"name: Enable php extensions

Answer: shell: 'php5enmod '
with_items: ''
notify: restart webserver
",0.7841808199882507,0.275896985573159
30,nltk,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
",,18,scorpionresponse,https://old-galaxy.ansible.com/scorpionresponse/nltk,data/repos/scorpionresponse/nltk/tasks/main.yml,name: Set facts for python3,"name: Set facts for python3

Answer: ansible.builtin.set_fact:
  python3_binary: python3
when: python3_binary is not defined
",0.8065430521965027,0.36200792418141237
31,windows_2019_cis,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
",MIT,61,georgenalen,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,"name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   on network logons is set to Enabled MS only
command: echo true
when:
- is_implemented
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.8268142342567444,0.6105364386738621
32,prometheus,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
","Apache-2.0-Short,Apache-2.0",65,shelleg,https://old-galaxy.ansible.com/shelleg/prometheus,data/repos/shelleg/prometheus/tasks/sd-create.yml,name: set prometheus sd yml file,"name: set prometheus sd yml file

Answer: template:
  src: prometheus.service.j2
  dest: /etc/systemd/system/prometheus.service
  owner: root
  group: root
  mode: 420
when: ansible_service_mgr =='systemd'
",0.7682461738586426,0.3944217006453497
33,automysqlbackup,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
",GPL-3.0-only,11,belgotux,https://old-galaxy.ansible.com/belgotux/automysqlbackup,data/repos/belgotux/automysqlbackup/tasks/configuration.yml,name: create the differents configurations and credentials files for each server,"name: create the differents configurations and credentials files for each server

Answer: become: true
template:
  src:.j2
  dest: /etc/mysql/
  owner: root
  group: mysql
  mode: 416
with_items:
-.cnf
- mysql.conf.d
- mysqld_safe.cnf
notify:
- restart percona
tags:
- percona-server-repository
",0.6858149766921997,0.15450376306675842
34,elasticsearch_curator,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
","Apache-2.0-Short,Apache-2.0",13,rolehippie,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,name: Install if enabled,"name: Install if enabled

Answer: apt:
  name: ''
  state: present
with_items:
- zsh
when: ansible_pkg_mgr == 'apt'
",0.6402989625930786,5.219213530504992e-07
35,ansible-role-greenpithumb,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
","Apache-2.0-Short,Apache-2.0",22,mtlynch,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,name: create greenpithumb data folders,"name: create greenpithumb data folders

Answer: file:
  path: /var/lib/greenplum-db/
  state: directory
  owner: gpadmin
  mode: 488
with_items:
- pg_xlog
- pg_wal
- sbin
- lib
",0.8412131071090698,0.5382645080426334
36,phpmyadmin,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
",,24,paulthed,https://old-galaxy.ansible.com/paulthed/phpmyadmin,data/repos/paulthed/phpmyadmin/tasks/main.yml,name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,"name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: ansible.builtin.lineinfile:
  dest: /etc/apache2/apache2.conf
  regexp: ^Include.+phpmyadmin.+$
  line: Include /etc/phpmyadmin/apache.conf
  state: present
  mode: 420
when: ansible_os_family == 'Debian'
notify: restart apache
",0.8898596167564392,0.5550230593158647
37,openstack-glance,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
","Apache-2.0-Short,Apache-2.0",22,dguerri,https://old-galaxy.ansible.com/dguerri/openstack-glance,data/repos/dguerri/openstack-glance/tasks/facts.yml,name: Set service facts,"name: Set service facts

Answer: ansible.builtin.set_fact:
  _lynis_service_name: lynis
  _lynis_service_default_mode: sss
",0.7368586659431458,0.24803453814572127
38,sonarr,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",,688,devopsarr,https://old-galaxy.ansible.com/devopsarr/sonarr,data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,name: list all languages,"name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,kubernete,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",,40,hitotito,https://old-galaxy.ansible.com/hitotito/kubernete,data/repos/hitotito/kubernete/tasks/main.yml,name: add kubernete repository,"name: add kubernete repository

Answer: become: true
apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  filename: kubernetes
  update_cache: true
",0.9310780763626099,0.5989259550191371
40,set_alternative_python_path,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
",MIT,46,cloud3rsio,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,name: Check python,"name: Check python-requirements.txt

Answer: command: python /opt/monasca/agent/monasca-agent.py --config-file /etc/monasca/agent.conf
  --storage-backend=sqlite --storage-path=/var/lib/monasca
when: not monasca_agent_upgrade_allowed
",0.6739123463630676,0.1595653254215134
41,matrix-synapse-auto-deploy,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
",,166,madic-,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,name: Creating synapse user in postgres,"name: Creating synapse user in postgres

Answer: become: true
become_user: postgres
sql: ""CREATE USER synapse WITH PASSWORD 'password';\nGRANT ALL ON SCHEMA public
  TO synapse;\nGRANT ALL ON ALL SCHEMA TO synapse;\n""
",0.7482554912567139,0.35022319740289554
42,docker,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
",,14,gacruxm4,https://old-galaxy.ansible.com/gacruxm4/docker,data/repos/gacruxm4/docker/tasks/main.yml,name: download pip script,"name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /Downloads/get-pip.py
  mode: 365
when: pip_installation or pip_installation.stdout == """"
",0.8799560070037842,0.39318893015509526
43,hadoop_masternode,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
",,8,kukareja_simran,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,name: Install java on namenode,"name: Install java on namenode

Answer: shell: ""hadoop jar /usr/hdp/2.6.5/hadoop-hdfs-devel-2.6.5.jar org.apache.hadoop.util.ShutdownHookManager:main\
  \ -namenode \u0026; yarn --no-bin --no-test --skipTests --conf yarn.application.files=yarn-app.xml\
  \ yarn.resources.memory-mb=1536M yarn.nodemanager.resource-request-max=1024M\
  \ yarn.nodemanager.vmem-percent=80.0 yarn.nodemanager.memory-mb=1536M\
  \ -i  ""
args:
  chdir: /usr/hdp/2.6.5
  creates: '{{ hadoop_home_dir }}/bin/yarn'
when:'version.stdout!= hadoop_version and force_reinstall_yarn == true

  '
",0.6472678780555725,0.03080801357606437
44,oracle-soa,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
",MIT,42,jeqo,https://old-galaxy.ansible.com/jeqo/oracle-soa,data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,name: create link to jdev,"name: create link to jdev

Answer: file: src=/usr/local/java/openjdk-11.0.2/bin/jdev dest=/usr/local/bin/jdev state=link
when: java_type == ""JDE""
",0.7725635766983032,0.20099526531066148
45,git,"sudo: true
apt: pkg=git
",MIT,59,dexhorthy,https://old-galaxy.ansible.com/dexhorthy/git,data/repos/dexhorthy/git/tasks/install_from_ppa.yml,name: Install from ppa | Install git | apt package,"name: Install from ppa | Install git | apt package

Answer: apt:
  name: git
  state: present
when: ansible_distribution == ""Ubuntu""
",0.7198508977890015,0.054511850690877196
46,syncthing-debian,"apt_repository:
  repo: deb https://{{ syncthing_apt_repository_host }}/ syncthing release
  state: present
when: not syncthing_use_debian_repository
",BSD-3-Clause,1532,spk,https://old-galaxy.ansible.com/spk/syncthing-debian,data/repos/spk/syncthing-debian/tasks/main.yml,name: Add Syncthing repository,"name: Add Syncthing repository

Answer: apt_repository:
  repo: deb [arch=amd64] https://syncthing.net/release/debian bullseye main
  state: present
  update_cache: true
",0.8399156332015991,0.553940645459943
47,sa-swagger-editor,"assert:
  that: nodejs_version in [ ""0.10"", ""0.12"", ""4.x"", ""5.x"" ]
when: ansible_os_family == ""Debian"" and node_present|failed
tags: -nodejs -setup
",,15,softasap,https://old-galaxy.ansible.com/softasap/sa-swagger-editor,data/repos/softasap/sa-swagger-editor/tasks/tasks_nodejs.yml,name: NodeJS | Check nodejs_version variable,"name: NodeJS | Check nodejs_version variable

Answer: ansible.builtin.assert:
  that:
  - nodejs_version is defined
  - nodejs_version is string
  - nodejs_version is not none
  quiet: true
",0.7505210638046265,0.30885136702758825
48,supervisor,"apt: pkg=python-pip
when: ansible_os_family == 'Debian'
",MIT,77,valentinzberea,https://old-galaxy.ansible.com/valentinzberea/supervisor,data/repos/valentinzberea/supervisor/tasks/supervisor.yml,name: Install dependencies,"name: Install dependencies

Answer: ansible.builtin.apt:
  pkg:
  - apt-transport-https
  - gnupg
  state: present
  update_cache: true
become: true
",0.739969789981842,0.11831302168633812
