,input,output,org_name,repo_name,license,path,download_link,download_count,starcoder-response,codebertscore,bleuscore
10,name: Upgrade all homebrew packages (if configured).,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",mbautin,ansible-role-homebrew,,data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,15,"name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  name: ''
  state: latest
with_items: ''
when: brew_upgrade_all
",0.7987238764762878,0.38665399065747785
11,name: unpack pandoc,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",crivetimihai,workstation,,data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,https://old-galaxy.ansible.com/crivetimihai/workstation,288,"name: unpack pandoc source

Answer: unarchive:
  src: /tmp/pandoc-2.2.2.tar.gz
  dest: /tmp
  remote_src: true
",0.8449521660804749,0.6045188096287792
12,name: MongoDB smallFiles,"copy: src=mongodb.conf dest=/etc/
",andperez,mongodb,MIT,data/repos/andperez/mongodb/tasks/setup-RedHat.yml,https://old-galaxy.ansible.com/andperez/mongodb,85,"name: MongoDB smallFiles

Answer: lineinfile:
  dest: /etc/mongod.conf
  regexp: ^#?smallfiles
  line: smallfiles = true
  state: present
notify: restart mongodb
",0.7414504885673523,0.1119336700236738
13,name: enable sensu-client to survive reboot,"service: name=sensu-client enabled=yes
",gugu,sensu,,data/repos/gugu/sensu/tasks/client.yml,https://old-galaxy.ansible.com/gugu/sensu,35,"name: enable sensu-client to survive reboot

Answer: service:
  name: sensu-client
  enabled: true
",0.8406815528869629,0.2926756560312446
14,name: Create CA CSR for self-signed certificate,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
",rhjhunt,opensslca,,data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,https://old-galaxy.ansible.com/rhjhunt/opensslca,33,"name: Create CA CSR for self-signed certificate

Answer: command: openssl req -subj ""/C=US/ST=California/L=Mountain View/O=Example Inc./CN={{
  ansible_fqdn }}"" -new -key {{ dds_system_tmp }}/ansible_dds/ca.key -out {{ dds_system_tmp
  }}/ansible_dds/ca.csr
",0.6898225545883179,0.13277059489477744
15,name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",darkwizard242,gcloudsdk,MIT,data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,3395,"name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .deb

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.8982073068618774,0.547146552358375
16,name: modify standalone.xml,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",andrelohmann,keycloak,MIT,data/repos/andrelohmann/keycloak/tasks/mysql.yml,https://old-galaxy.ansible.com/andrelohmann/keycloak,56246,"name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:security/sub:user-name
  value: keycloak
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.8905783891677856,0.5230011293752452
17,name: Add node key,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
",pablerass,jenkins-slave-linux,LGPL-3.0-only,data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,27,"name: Add node key

Answer: apt_key:
  url: https://deb.nodesource.com/gpgkey/nodesource.gpg.key
  state: present
",0.910438060760498,0.5391286508685107
18,name: Check if mysql is installed or not,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
",aminvakil,lamp,,data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,https://old-galaxy.ansible.com/aminvakil/lamp,22657,"name: Check if mysql is installed or not

Answer: shell: which mysql
register: mysql_binary
ignore_errors: true
changed_when: false
",0.8075349926948547,0.4450768064798869
19,name: flush handlers before proceeding,"meta: flush_handlers
when: debezium_flush_handlers
",libre_ops,debezium,GPL-3.0-only,data/repos/libre_ops/debezium/tasks/main.yml,https://old-galaxy.ansible.com/libre_ops/debezium,211,"name: flush handlers before proceeding

Answer: meta: flush_handlers
",0.8118540048599243,0.47571655750042513
20,name: Logwatch | Remove logwatch's cronjob,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
",anxs,logwatch,MIT,data/repos/anxs/logwatch/tasks/main.yml,https://old-galaxy.ansible.com/anxs/logwatch,581,"name: Logwatch | Remove logwatch's cronjob

Answer: cron:
  name: logwatch
  state: absent
when: logwatch_installed.stat.exists
",0.7504836320877075,0.25667656601159883
21,name: Configuring permissions on zm.conf,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
",itev,zoneminder,MIT,data/repos/itev/zoneminder/tasks/main.yml,https://old-galaxy.ansible.com/itev/zoneminder,46,"name: Configuring permissions on zm.conf

Answer: file:
  path: /opt/zimbra/data/amavis/zm.conf
  owner: zimbra
  group: zimbra
  mode: 384
",0.8266217112541199,0.2891994949664659
22,name: Test BGP - enforce-first-as,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",community,network,,data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,https://old-galaxy.ansible.com/community/network,723055,"name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",0.9404406547546387,0.8040945259197259
23,name: set http auth,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
",nowait-tools,phabricator,MIT,data/repos/nowait-tools/phabricator/tasks/config.yml,https://old-galaxy.ansible.com/nowait-tools/phabricator,31,"name: set http auth

Answer: lineinfile:
  dest: /etc/yum.repos.d/base.repo
  regexp: ^proxy=
  line: proxy=
  mode: 420
when: ansible_pkg_mgr == 'yum' and yum_proxy_url is defined
",0.7079512476921082,0.12268834300403116
24,name: install Phusion Passenger dependencies,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
",zaiste,passenger,,data/repos/zaiste/passenger/tasks/main.yml,https://old-galaxy.ansible.com/zaiste/passenger,46,"name: install Phusion Passenger dependencies

Answer: apt: pkg= state=present
with_items:
- libnginx-mod-http-passenger
- libnginx-mod-http-passenger-dev
",0.7963862419128418,0.33125702014529124
25,name: modify /etc/network/interfaces for ipv6,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
",yasuhiroabe,homegw-pppoe,Apache-2.0-Short,data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,26,"name: modify /etc/network/interfaces for ipv6

Answer: template:
  src: etc/network/interfaces.j2
  dest: /etc/network/interfaces
  owner: root
  group: root
  mode: 420
  seuser: system_u
  serole: object_r
  setype: net_conf_t
  selevel: s0
notify:
- restart network
",0.7351078987121582,0.26329990703209744
26,name: Start acmetool,"service: name=""acmetool"" state=""started"" enabled=yes
",l-p,acmetool,MIT,data/repos/l-p/acmetool/tasks/acmetool_service.yml,https://old-galaxy.ansible.com/l-p/acmetool,335,"name: Start acmetool service

Answer: ansible.builtin.systemd:
  name: acmetool
  state: started
  enabled: true
",0.8333580493927002,0.2952562700864471
27,name: Install required packages,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
",stuvusit,mattermost-github-integration,,data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,14,"name: Install required packages

Answer: ansible.builtin.package:
  name: '{{ _dns_packages[ansible_os_family] | default(_dns_packages[''default''])
    }}'
  state: present
",0.6813705563545227,0.11178369320435429
28,name: Install Shade,"pip:
  name: shade
  state: present
",ragingpastry,os-keystone,,data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,https://old-galaxy.ansible.com/ragingpastry/os-keystone,13,"name: Install Shade

Answer: pip: name=shade version=1.11.1 virtualenv=/opt/shade
",0.7182390093803406,0.2028936116057714
29,name: Enable php extensions,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
",gr360ry,snipe-it,MIT,data/repos/gr360ry/snipe-it/tasks/main.yml,https://old-galaxy.ansible.com/gr360ry/snipe-it,42,"name: Enable php extensions

Answer: community.general.apache2_module:
  name: ''
  state: present
loop: ''
notify: restart apache
when:
- ansible_distribution == ""Ubuntu""
- ansible_distribution_version == ""18.04""
- webserver_apache_php_extensions is defined
",0.6861210465431213,0.041814477803697785
30,name: Set facts for python3,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
",scorpionresponse,nltk,,data/repos/scorpionresponse/nltk/tasks/main.yml,https://old-galaxy.ansible.com/scorpionresponse/nltk,18,"name: Set facts for python3

Answer: ansible.builtin.set_fact:
  python_package: python38
  python_executable: python3.8
  python_pip_executable: pip3.8
when:
- ansible_python_version is version('3', '<')
",0.8133860230445862,0.35300613893384425
31,name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
",georgenalen,windows_2019_cis,MIT,data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,61,"name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 1
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.9116597175598145,0.7549061026149219
32,name: set prometheus sd yml file,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
",shelleg,prometheus,"Apache-2.0-Short,Apache-2.0",data/repos/shelleg/prometheus/tasks/sd-create.yml,https://old-galaxy.ansible.com/shelleg/prometheus,65,"name: set prometheus sd yml file permissions

Answer: file:
  path: /etc/consul-template/prometheus.yml
  owner: consul-template
  group: consul-template
  mode: 420
",0.7811646461486816,0.4157632349352987
33,name: create the differents configurations and credentials files for each server,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
",belgotux,automysqlbackup,GPL-3.0-only,data/repos/belgotux/automysqlbackup/tasks/configuration.yml,https://old-galaxy.ansible.com/belgotux/automysqlbackup,11,"name: create the differents configurations and credentials files for each server

Answer: template:
  src: ''
  dest: ''
  owner: root
  group: root
  mode: 420
with_items:
- src: etc/sensu/conf.d/redis.json.j2
  dest: /etc/sensu/conf.d/redis.json
- src: etc/sensu/conf.d/redis_handlers.json.j2
  dest: /etc/sensu/conf.d/redis_handlers.json
notify:
- restart sensu server
- restart sensu client
",0.6663892865180969,0.11943140286754693
34,name: Install if enabled,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
",rolehippie,elasticsearch_curator,"Apache-2.0-Short,Apache-2.0",data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,13,"name: Install if enabled

Answer: include: install.yml
when:
- item.enable | default(true) | bool
- item.name | length > 0
loop: ''
loop_control:
  label: ''
",0.6315997242927551,2.3264078932309883e-05
35,name: create greenpithumb data folders,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
",mtlynch,ansible-role-greenpithumb,"Apache-2.0-Short,Apache-2.0",data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,22,"name: create greenpithumb data folders

Answer: file: path= state=directory owner=www-data group=www-data
with_items:
- '{{postgresql_conf_directory}}/postgresql.conf.d'
- /var/lib/postgresql/{{postgresql_version}}/main
- /var/lib/postgresql/{{postgresql_version}}/pg_wal
- /var/lib/postgresql/{{postgresql_version}}/pg_stat
- /var/lib/postgresql/{{postgresql_version}}/recovery.conf
- /var/lib/postgresql/{{postgresql_version}}/base
",0.7821143865585327,0.18987804446657588
36,name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
",paulthed,phpmyadmin,,data/repos/paulthed/phpmyadmin/tasks/main.yml,https://old-galaxy.ansible.com/paulthed/phpmyadmin,24,"name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: ansible.builtin.lineinfile:
  dest: /etc/apache2/apache2.conf
  regexp: ^Include /etc/phpmyadmin/apache.conf$
  line: Include /etc/phpmyadmin/apache.conf
  state: present
  mode: '0644'
notify: Restart Apache
when: ansible_os_family == ""Debian""
",0.8804209232330322,0.5168548099021324
37,name: Set service facts,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
",dguerri,openstack-glance,"Apache-2.0-Short,Apache-2.0",data/repos/dguerri/openstack-glance/tasks/facts.yml,https://old-galaxy.ansible.com/dguerri/openstack-glance,22,"name: Set service facts

Answer: ansible.builtin.set_fact:
  _dnsmasq_systemd_resolved: false
  _dnsmasq_systemd_resolved_enabled: false
when:
- ansible_service_mgr == ""systemd""
",0.7464718222618103,0.21585678695333577
38,name: list all languages,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",devopsarr,sonarr,,data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,https://old-galaxy.ansible.com/devopsarr/sonarr,688,"name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,name: add kubernete repository,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",hitotito,kubernete,,data/repos/hitotito/kubernete/tasks/main.yml,https://old-galaxy.ansible.com/hitotito/kubernete,40,"name: add kubernete repository

Answer: apt_repository:
  repo: deb https://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  filename: kubernetes
  update_cache: true
",0.9373928904533386,0.6308726474966027
40,name: Check python,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
",cloud3rsio,set_alternative_python_path,MIT,data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,46,"name: Check python version

Answer: command: python --version
register: python_installed_version
changed_when: false
",0.8474628925323486,0.5412872681334201
41,name: Creating synapse user in postgres,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
",madic-,matrix-synapse-auto-deploy,,data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,166,"name: Creating synapse user in postgres

Answer: become: true
become_user: postgres
postgresql_user:
  name: synapse
  password: synapse
  role_attr_flags: SUPERUSER,CREATEDB,INHERIT,LOGIN
  state: present
",0.7926641702651978,0.4744083705745103
42,name: download pip script,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
",gacruxm4,docker,,data/repos/gacruxm4/docker/tasks/main.yml,https://old-galaxy.ansible.com/gacruxm4/docker,14,"name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /tmp/get-pip.py
",0.9359413981437683,0.6895321832121761
43,name: Install java on namenode,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
",kukareja_simran,hadoop_masternode,,data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,8,"name: Install java on namenode

Answer: yum: name=java-1.7.0-openjdk state=present
when: ansible_os_family == ""RedHat""
",0.7458626627922058,0.0873008958503013
44,name: create link to jdev,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
",jeqo,oracle-soa,MIT,data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,https://old-galaxy.ansible.com/jeqo/oracle-soa,42,"name: create link to jdev

Answer: file:
  src: /usr/java/latest
  dest: /usr/java/j2sdk
  state: link
when: java_type == ""jdk""
",0.7668207287788391,0.28525942313554087
45,name: Install from ppa | Install git | apt package,"sudo: true
apt: pkg=git
",dexhorthy,git,MIT,data/repos/dexhorthy/git/tasks/install_from_ppa.yml,https://old-galaxy.ansible.com/dexhorthy/git,59,"name: Install from ppa | Install git | apt package

Answer: apt:
  name: git
  state: present
when: ansible_os_family == ""Debian""
tags: git
",0.7178499102592468,0.04887864987314448
46,name: Add Syncthing repository,"apt_repository:
  repo: deb https://{{ syncthing_apt_repository_host }}/ syncthing release
  state: present
when: not syncthing_use_debian_repository
",spk,syncthing-debian,BSD-3-Clause,data/repos/spk/syncthing-debian/tasks/main.yml,https://old-galaxy.ansible.com/spk/syncthing-debian,1532,"name: Add Syncthing repository

Answer: apt_repository:
  repo: deb https://apt.syncthing.net/ syncthing main
  state: present
  filename: syncthing
  update_cache: true
become: true
",0.857852041721344,0.54109828974266
47,name: NodeJS | Check nodejs_version variable,"assert:
  that: nodejs_version in [ ""0.10"", ""0.12"", ""4.x"", ""5.x"" ]
when: ansible_os_family == ""Debian"" and node_present|failed
tags: -nodejs -setup
",softasap,sa-swagger-editor,,data/repos/softasap/sa-swagger-editor/tasks/tasks_nodejs.yml,https://old-galaxy.ansible.com/softasap/sa-swagger-editor,15,"name: NodeJS | Check nodejs_version variable

Answer: fail:
  msg: nodejs_version must be defined as a string
when: nodejs_version is not defined or nodejs_version is not string
",0.7311183214187622,0.2685792411733491
48,name: Install dependencies,"apt: pkg=python-pip
when: ansible_os_family == 'Debian'
",valentinzberea,supervisor,MIT,data/repos/valentinzberea/supervisor/tasks/supervisor.yml,https://old-galaxy.ansible.com/valentinzberea/supervisor,77,"name: Install dependencies

Answer: ansible.builtin.package:
  name: '{{ _mediawiki_dependencies[ansible_os_family] | default(_mediawiki_dependencies[''default''])
    }}'
  state: present
",0.7462018132209778,0.1286364474130579
49,name: Mount VirtualBox guest additions ISO.,"mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",olidrouin,packer_rhel,MIT,data/repos/olidrouin/packer_rhel/tasks/virtualbox.yml,https://old-galaxy.ansible.com/olidrouin/packer_rhel,41,"name: Mount VirtualBox guest additions ISO.

Answer: mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
",0.9174306988716125,0.6740338596388074
