,repo_name,license,input,download_link,download_count,output,path,org_name,starcoder-response,codebertscore,bleuscore
22,network,,name: Test BGP - enforce-first-as,https://old-galaxy.ansible.com/community/network,723055,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,community,"name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1='' bgpArg2=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as'', ''bgpArg2'': 333}'
",0.9281310439109802,0.7041749860777511
23,phabricator,MIT,name: set http auth,https://old-galaxy.ansible.com/nowait-tools/phabricator,31,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
",data/repos/nowait-tools/phabricator/tasks/config.yml,nowait-tools,"name: set http auth for gogs

Answer: http_auth:
  user: gogs
  password: gogs
when: gogs_register_http_auth.rc!= 0
",0.7166242003440857,0.16950290523857728
24,passenger,,name: install Phusion Passenger dependencies,https://old-galaxy.ansible.com/zaiste/passenger,46,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
",data/repos/zaiste/passenger/tasks/main.yml,zaiste,"name: install Phusion Passenger dependencies

Answer: apt: name= state=present update_cache=yes
with_items:
- libpcre3
- libpcre3-dev
- libssl-dev
",0.7922181487083435,0.385187247133494
25,homegw-pppoe,Apache-2.0-Short,name: modify /etc/network/interfaces for ipv6,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,26,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
",data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,yasuhiroabe,"name: modify /etc/network/interfaces for ipv6

Answer: template:
  src: etc/network/interfaces.j2
  dest: /etc/sysconfig/network-scripts/ifcfg-eth0
  owner: root
  group: root
  mode: 420
  seuser: system_u
  serole: object_r
  setype: net_conf_t
  selevel: s0
",0.7295358777046204,0.25857765312158926
26,acmetool,MIT,name: Start acmetool,https://old-galaxy.ansible.com/l-p/acmetool,335,"service: name=""acmetool"" state=""started"" enabled=yes
",data/repos/l-p/acmetool/tasks/acmetool_service.yml,l-p,"name: Start acmetool

Answer: ansible.builtin.service:
  name: acmetool
  state: started
  enabled: true
",0.8475739359855652,0.32235305068139514
27,mattermost-github-integration,,name: Install required packages,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,14,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
",data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,stuvusit,"name: Install required packages

Answer: ansible.builtin.package:
  name: '{{ _ntp_packages[ansible_os_family] | default(_ntp_packages[''default''])
    }}'
  state: present
",0.6816806197166443,0.1122465755404552
28,os-keystone,,name: Install Shade,https://old-galaxy.ansible.com/ragingpastry/os-keystone,13,"pip:
  name: shade
  state: present
",data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,ragingpastry,"name: Install Shade Plugin

Answer: shell: bin/plugin install shaded-script chdir=/usr/share/elasticsearch creates=/usr/share/elasticsearch/lib/scripting/shaded-script/org.elasticsearch.common.inject.util.ShadedClass
when: not es_install_shade_plugin
notify: Restart Elasticsearch
",0.6339462399482727,0.05622450480330647
29,snipe-it,MIT,name: Enable php extensions,https://old-galaxy.ansible.com/gr360ry/snipe-it,42,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
",data/repos/gr360ry/snipe-it/tasks/main.yml,gr360ry,"name: Enable php extensions

Answer: shell: 'php5enmod '
with_items: ''
when: php_enable_extensions.split(';')
notify: restart webserver
",0.7602980136871338,0.20412264086863385
30,nltk,,name: Set facts for python3,https://old-galaxy.ansible.com/scorpionresponse/nltk,18,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
",data/repos/scorpionresponse/nltk/tasks/main.yml,scorpionresponse,"name: Set facts for python3

Answer: ansible.builtin.set_fact:
  python_package: python3
  python_executable: python3
when:
- ansible_distribution == ""CentOS""
- ansible_distribution_major_version == ""7"" or ansible_distribution_major_version
  == ""8""
",0.7869793176651001,0.24132852847718853
31,windows_2019_cis,MIT,name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,61,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
",data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,georgenalen,"name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   on network logons is set to Enabled MS only
command: echo true
when:
- is_implemented
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.8268142342567444,0.6105364386738621
32,prometheus,"Apache-2.0-Short,Apache-2.0",name: set prometheus sd yml file,https://old-galaxy.ansible.com/shelleg/prometheus,65,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
",data/repos/shelleg/prometheus/tasks/sd-create.yml,shelleg,"name: set prometheus sd yml file

Answer: template:
  src: prometheus-sd-file.yml.j2
  dest: /etc/prometheus/sd-file.yml
  owner: root
  group: root
  mode: 384
notify:
- restart prometheus
",0.7907990217208862,0.4675313096203989
33,automysqlbackup,GPL-3.0-only,name: create the differents configurations and credentials files for each server,https://old-galaxy.ansible.com/belgotux/automysqlbackup,11,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
",data/repos/belgotux/automysqlbackup/tasks/configuration.yml,belgotux,"name: create the differents configurations and credentials files for each server

Answer: template:
  src: server.j2
  dest: /etc/ldap/slapd.d/
  owner: root
  group: root
  mode: 420
with_items:
- auths
- config
loop_control:
  loop_var: server
",0.7178932428359985,0.2650258661577784
34,elasticsearch_curator,"Apache-2.0-Short,Apache-2.0",name: Install if enabled,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,13,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
",data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,rolehippie,"name: Install if enabled

Answer: ansible.builtin.package:
  name: '{{ _auto_update_packages[ansible_os_family ~ ''-'' ~ ansible_distribution_major_version]
    | default(_auto_update_packages[ansible_os_family] | default(_auto_update_packages[''default'']
    )) }}'
  state: present
",0.6377261877059937,0.002643447753699423
35,ansible-role-greenpithumb,"Apache-2.0-Short,Apache-2.0",name: create greenpithumb data folders,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,22,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
",data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,mtlynch,"name: create greenpithumb data folders

Answer: file:
  path: ''
  state: directory
  mode: 493
  owner: postgres
  group: postgres
with_items:
- '{{gp_home}}/logs'
- '{{gp_home}}/data'
- /var/log/greenplum_backup
",0.869969367980957,0.5446598259017777
36,phpmyadmin,,name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,https://old-galaxy.ansible.com/paulthed/phpmyadmin,24,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
",data/repos/paulthed/phpmyadmin/tasks/main.yml,paulthed,"name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: ansible.builtin.lineinfile:
  dest: /etc/apache2/apache2.conf
  regexp: ^Include.+phpmyadmin.+$
  line: Include /etc/phpmyadmin/apache.conf
  state: present
notify: restart apache
when: ansible_os_family == ""Debian""
",0.8993886709213257,0.59009178776618
37,openstack-glance,"Apache-2.0-Short,Apache-2.0",name: Set service facts,https://old-galaxy.ansible.com/dguerri/openstack-glance,22,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
",data/repos/dguerri/openstack-glance/tasks/facts.yml,dguerri,"name: Set service facts

Answer: ansible.builtin.service_facts: null
",0.7506007552146912,0.26234510566242186
38,sonarr,,name: list all languages,https://old-galaxy.ansible.com/devopsarr/sonarr,688,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,devopsarr,"name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,kubernete,,name: add kubernete repository,https://old-galaxy.ansible.com/hitotito/kubernete,40,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",data/repos/hitotito/kubernete/tasks/main.yml,hitotito,"name: add kubernete repository

Answer: apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
become: true
",0.9385330080986023,0.6816639756873955
40,set_alternative_python_path,MIT,name: Check python,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,46,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
",data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,cloud3rsio,"name: Check python version

Answer: shell: python --version 2>&1 | awk '{print $2}'
register: python_installed_version
changed_when: false
",0.7900224924087524,0.41259038712475377
41,matrix-synapse-auto-deploy,,name: Creating synapse user in postgres,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,166,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
",data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,madic-,"name: Creating synapse user in postgres

Answer: postgresql_user:
  name: synapse
  password: synadminsecret
  state: present
",0.7886620759963989,0.445587537074028
42,docker,,name: download pip script,https://old-galaxy.ansible.com/gacruxm4/docker,14,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
",data/repos/gacruxm4/docker/tasks/main.yml,gacruxm4,"name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /tmp/get-pip.py
when: need_pip | failed
",0.9151711463928223,0.56648355695653
43,hadoop_masternode,,name: Install java on namenode,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,8,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
",data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,kukareja_simran,"name: Install java on namenode

Answer: yum: name= state=present
with_items:
- oracle-java8-installer
- oracle-java8-set-default
when: ansible_distribution_major_version == ""8""
",0.7183405160903931,0.060456497530126004
44,oracle-soa,MIT,name: create link to jdev,https://old-galaxy.ansible.com/jeqo/oracle-soa,42,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
",data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,jeqo,"name: create link to jdevkit

Answer: file: src={{ jdk_install_dir }}/jdk-{{ jdk_version }}.0.{{ jdk_update }}/jre/lib/jdev.lib
  dest=/usr/lib/jdev.lib state=link
",0.7533469796180725,0.15584121875438767
45,git,MIT,name: Install from ppa | Install git | apt package,https://old-galaxy.ansible.com/dexhorthy/git,59,"sudo: true
apt: pkg=git
",data/repos/dexhorthy/git/tasks/install_from_ppa.yml,dexhorthy,"name: Install from ppa | Install git | apt package

Answer: apt:
  name: '{{ __git_package }}'
  state: present
when: ansible_distribution == 'Ubuntu'
",0.7259494662284851,0.03813176711951814
46,syncthing-debian,BSD-3-Clause,name: Add Syncthing repository,https://old-galaxy.ansible.com/spk/syncthing-debian,1532,"apt_repository:
  repo: deb https://{{ syncthing_apt_repository_host }}/ syncthing release
  state: present
when: not syncthing_use_debian_repository
",data/repos/spk/syncthing-debian/tasks/main.yml,spk,"name: Add Syncthing repository

Answer: become: true
apt_repository:
  repo: deb http://download.syncthing.net/release/debian buster main
  state: present
  update_cache: true
",0.8423217535018921,0.5287419661800856
47,sa-swagger-editor,,name: NodeJS | Check nodejs_version variable,https://old-galaxy.ansible.com/softasap/sa-swagger-editor,15,"assert:
  that: nodejs_version in [ ""0.10"", ""0.12"", ""4.x"", ""5.x"" ]
when: ansible_os_family == ""Debian"" and node_present|failed
tags: -nodejs -setup
",data/repos/softasap/sa-swagger-editor/tasks/tasks_nodejs.yml,softasap,"name: NodeJS | Check nodejs_version variable

Answer: ansible.builtin.fail:
  msg: currentNode is not defined
when:
- nodejs_version is not defined
- nodejs_check_mode
",0.7442485690116882,0.3166124606611223
48,supervisor,MIT,name: Install dependencies,https://old-galaxy.ansible.com/valentinzberea/supervisor,77,"apt: pkg=python-pip
when: ansible_os_family == 'Debian'
",data/repos/valentinzberea/supervisor/tasks/supervisor.yml,valentinzberea,"name: Install dependencies

Answer: ansible.builtin.apt:
  name:
  - apt-transport-https
  - gnupg2
  state: present
  update_cache: true
  cache_valid_time: 3600
become: true
",0.7053946852684021,0.0901292695147719
49,packer_rhel,MIT,name: Mount VirtualBox guest additions ISO.,https://old-galaxy.ansible.com/olidrouin/packer_rhel,41,"mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",data/repos/olidrouin/packer_rhel/tasks/virtualbox.yml,olidrouin,"name: Mount VirtualBox guest additions ISO.

Answer: mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",0.9495685696601868,0.6872989337016293
