,org_name,license,input,path,output,repo_name,download_count,download_link,starcoder-response,codebertscore,bleuscore
22,community,,name: Test BGP - enforce-first-as,data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",network,723055,https://old-galaxy.ansible.com/community/network,"name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1='' bgpArg2='' bgpArg3=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as'', ''bgpArg2'':
  333, ''bgpArg3'': 33}'
",0.9130803346633911,0.6283200108541305
23,nowait-tools,MIT,name: set http auth,data/repos/nowait-tools/phabricator/tasks/config.yml,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
",phabricator,31,https://old-galaxy.ansible.com/nowait-tools/phabricator,"name: set http auth

Answer: lineinfile:
  dest: /etc/php/7.0/fpm/pool.d/www.conf
  regexp: ^;?cgi.fix_pathinfo=1
  line: cgi.fix_pathinfo=0
notify: restart php7-fpm
",0.7341172099113464,0.12854588825587315
24,zaiste,,name: install Phusion Passenger dependencies,data/repos/zaiste/passenger/tasks/main.yml,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
",passenger,46,https://old-galaxy.ansible.com/zaiste/passenger,"name: install Phusion Passenger dependencies

Answer: apt:
  name: ''
  state: present
with_items:
- libpcre3
- libpcre3-dev
- libssl-dev
- libxml2-dev
- libxslt1.1
- passenger
",0.759196400642395,0.21353528600962096
25,yasuhiroabe,Apache-2.0-Short,name: modify /etc/network/interfaces for ipv6,data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
",homegw-pppoe,26,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,"name: modify /etc/network/interfaces for ipv6

Answer: lineinfile:
  dest: /etc/network/interfaces
  regexp: ^  autoconf
  line: autoconf off
when: ansible_network_os is defined and ansible_network_os == ""dellemc.os6.os6""
",0.7656960487365723,0.3542357685283645
26,l-p,MIT,name: Start acmetool,data/repos/l-p/acmetool/tasks/acmetool_service.yml,"service: name=""acmetool"" state=""started"" enabled=yes
",acmetool,335,https://old-galaxy.ansible.com/l-p/acmetool,"name: Start acmetool

Answer: ansible.builtin.systemd:
  name: acmetool
  state: started
  enabled: true
",0.8370019793510437,0.27787470632677974
27,stuvusit,,name: Install required packages,data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
",mattermost-github-integration,14,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,"name: Install required packages

Answer: ansible.builtin.package:
  name: '{{ _ntp_packages[ansible_os_family] | default(_ntp_packages[''default''])
    }}'
  state: present
",0.6816806197166443,0.1122465755404552
28,ragingpastry,,name: Install Shade,data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,"pip:
  name: shade
  state: present
",os-keystone,13,https://old-galaxy.ansible.com/ragingpastry/os-keystone,"name: Install Shade Plugin

Answer: ansible.builtin.unarchive:
  src: https://github.com/jenkinsci/shade-plugin/releases/download/v{{
    jenkinsci_shade_version }}/{{ jenkinsci_shade_artifact }}
  dest: /usr/share/jenkins/ref/plugins
  remote_src: true
  mode: '0755'
",0.6179741024971008,0.06661087522040052
29,gr360ry,MIT,name: Enable php extensions,data/repos/gr360ry/snipe-it/tasks/main.yml,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
",snipe-it,42,https://old-galaxy.ansible.com/gr360ry/snipe-it,"name: Enable php extensions

Answer: command: php5enmod -s on
with_items: ''
when: php_modules is defined
notify: restart webserver
",0.7478213906288147,0.18918230747864806
30,scorpionresponse,,name: Set facts for python3,data/repos/scorpionresponse/nltk/tasks/main.yml,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
",nltk,18,https://old-galaxy.ansible.com/scorpionresponse/nltk,"name: Set facts for python3

Answer: ansible.builtin.set_fact:
  python_package: python3
  python_executable: python3
when:
- ansible_python_version is version('3', '>=')
",0.8131776452064514,0.3593013432158811
31,georgenalen,MIT,name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
",windows_2019_cis,61,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,"name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   is set to Enabled
win_regedit:
  path: HKLM:\Software\Policies\Microsoft\Windows\System
  name: LocalAccountTokenFilterPolicy
  data: 1
  type: dword
when: rule_18_3_1
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.8626807332038879,0.6614857909466986
32,shelleg,"Apache-2.0-Short,Apache-2.0",name: set prometheus sd yml file,data/repos/shelleg/prometheus/tasks/sd-create.yml,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
",prometheus,65,https://old-galaxy.ansible.com/shelleg/prometheus,"name: set prometheus sd yml file

Answer: set_fact:
  prometheus_sd_file: /etc/prometheus/sd/prometheus.yml
when: prometheus_sd_file is not defined
",0.7715215682983398,0.4165873096487852
33,belgotux,GPL-3.0-only,name: create the differents configurations and credentials files for each server,data/repos/belgotux/automysqlbackup/tasks/configuration.yml,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
",automysqlbackup,11,https://old-galaxy.ansible.com/belgotux/automysqlbackup,"name: create the differents configurations and credentials files for each server

Answer: template:
  src: server.conf.j2
  dest: /etc/nginx/conf.d/.conf
  owner: root
  group: root
  mode: 420
with_items: ''
notify: restart nginx
",0.6857999563217163,0.19126013393835004
34,rolehippie,"Apache-2.0-Short,Apache-2.0",name: Install if enabled,data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
",elasticsearch_curator,13,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,"name: Install if enabled

Answer: ansible.builtin.package:
  name: '{{ _dns_packages[ansible_os_family] | default(_dns_packages[''default''])
    }}'
  state: present
",0.6320983171463013,4.6046276952566647e-05
35,mtlynch,"Apache-2.0-Short,Apache-2.0",name: create greenpithumb data folders,data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
",ansible-role-greenpithumb,22,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,"name: create greenpithumb data folders

Answer: file:
  path: ''
  state: directory
  owner: postgres
  group: postgres
  mode: 493
with_items:
- /var/lib/greenplum-db/checkpoints
- /var/lib/greenplum-db/md
- /var/lib/postgresql/9.6/main
- /var/lib/postgresql/9.6/md
- /var/lib/postgresql/9.6/recovery
- /var/lib/postgresql/9.6/server
",0.8391127586364746,0.34199780046180933
36,paulthed,,name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,data/repos/paulthed/phpmyadmin/tasks/main.yml,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
",phpmyadmin,24,https://old-galaxy.ansible.com/paulthed/phpmyadmin,"name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: ansible.builtin.template:
  src: phpmyadmin.j2
  dest: /etc/apache2/sites-available/phpmyadmin.conf
  mode: 420
  owner: root
  group: root
notify: restart apache
when: ansible_os_family == ""Debian""
",0.8267850875854492,0.4582983981738314
37,dguerri,"Apache-2.0-Short,Apache-2.0",name: Set service facts,data/repos/dguerri/openstack-glance/tasks/facts.yml,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
",openstack-glance,22,https://old-galaxy.ansible.com/dguerri/openstack-glance,"name: Set service facts

Answer: ansible.builtin.set_fact:
  service_name: ''
  service_mgr: ''
when:
- ansible_service_mgr == ""systemd""
- ansible_service_name is defined
- ansible_service_name!='systemd-logind'
",0.7749729752540588,0.18688772090357827
38,devopsarr,,name: list all languages,data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",sonarr,688,https://old-galaxy.ansible.com/devopsarr/sonarr,"name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,hitotito,,name: add kubernete repository,data/repos/hitotito/kubernete/tasks/main.yml,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",kubernete,40,https://old-galaxy.ansible.com/hitotito/kubernete,"name: add kubernete repository

Answer: apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",0.9489519596099854,0.7393974185949621
40,cloud3rsio,MIT,name: Check python,data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
",set_alternative_python_path,46,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,"name: Check python version

Answer: command: python --version
register: python_version
changed_when: false
failed_when: false
",0.8587900400161743,0.5110118180367292
41,madic-,,name: Creating synapse user in postgres,data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
",matrix-synapse-auto-deploy,166,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,"name: Creating synapse user in postgres

Answer: sudo: true
user:
  name: synapse
  group: synapse
  shell: /usr/sbin/nologin
  createhome: false
  home: /var/lib/synapse
  comment: Synapse Admin
  state: present
tags:
- configuration
- postgres
- synapse
",0.7296913266181946,0.2621913542904733
42,gacruxm4,,name: download pip script,data/repos/gacruxm4/docker/tasks/main.yml,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
",docker,14,https://old-galaxy.ansible.com/gacruxm4/docker,"name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /tmp/get-pip.py
  mode: 493
",0.9190312623977661,0.6219802405525856
43,kukareja_simran,,name: Install java on namenode,data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
",hadoop_masternode,8,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,"name: Install java on namenode

Answer: yum:
  name: ''
  state: present
with_items: '{{ __java_packages }}'
when: ansible_os_family == ""RedHat""
",0.6765132546424866,0.06507828290899355
44,jeqo,MIT,name: create link to jdev,data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
",oracle-soa,42,https://old-galaxy.ansible.com/jeqo/oracle-soa,"name: create link to jdev

Answer: file:
  src: /opt/java/openjdk-{{ java_version }}.0.{{ java_update }}/bin/java
  dest: /usr/bin/java
  state: link
when: java_type == ""JDev""
",0.7631352543830872,0.22836987710250842
45,dexhorthy,MIT,name: Install from ppa | Install git | apt package,data/repos/dexhorthy/git/tasks/install_from_ppa.yml,"sudo: true
apt: pkg=git
",git,59,https://old-galaxy.ansible.com/dexhorthy/git,"name: Install from ppa | Install git | apt package

Answer: apt:
  name: git
  state: present
when: ansible_distribution == 'Ubuntu'
",0.7241206169128418,0.054511850690877196
46,spk,BSD-3-Clause,name: Add Syncthing repository,data/repos/spk/syncthing-debian/tasks/main.yml,"apt_repository:
  repo: deb https://{{ syncthing_apt_repository_host }}/ syncthing release
  state: present
when: not syncthing_use_debian_repository
",syncthing-debian,1532,https://old-galaxy.ansible.com/spk/syncthing-debian,"name: Add Syncthing repository

Answer: apt_repository:
  repo: deb https://syncthing.net/downloads/stable/apt/ xenial main
  state: present
  update_cache: true
",0.8459019064903259,0.5538870155336234
47,softasap,,name: NodeJS | Check nodejs_version variable,data/repos/softasap/sa-swagger-editor/tasks/tasks_nodejs.yml,"assert:
  that: nodejs_version in [ ""0.10"", ""0.12"", ""4.x"", ""5.x"" ]
when: ansible_os_family == ""Debian"" and node_present|failed
tags: -nodejs -setup
",sa-swagger-editor,15,https://old-galaxy.ansible.com/softasap/sa-swagger-editor,"name: NodeJS | Check nodejs_version variable

Answer: ansible.builtin.assert:
  that:
  - nodejs_version is defined
  - nodejs_version is string
  - nodejs_version is not none
  quiet: true
",0.7505210638046265,0.30885136702758825
48,valentinzberea,MIT,name: Install dependencies,data/repos/valentinzberea/supervisor/tasks/supervisor.yml,"apt: pkg=python-pip
when: ansible_os_family == 'Debian'
",supervisor,77,https://old-galaxy.ansible.com/valentinzberea/supervisor,"name: Install dependencies

Answer: ansible.builtin.package:
  name: '{{ _ntp_dependencies[ansible_os_family] | default(_ntp_dependencies[''default''])
    }}'
  state: present
",0.7489839792251587,0.13603701350641081
49,olidrouin,MIT,name: Mount VirtualBox guest additions ISO.,data/repos/olidrouin/packer_rhel/tasks/virtualbox.yml,"mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",packer_rhel,41,https://old-galaxy.ansible.com/olidrouin/packer_rhel,"name: Mount VirtualBox guest additions ISO.

Answer: mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
",0.9174306988716125,0.6740338596388074
