,output,path,repo_name,download_count,input,download_link,license,org_name,starcoder-response,codebertscore,bleuscore
13,"service: name=sensu-client enabled=yes
",data/repos/gugu/sensu/tasks/client.yml,sensu,35,name: enable sensu-client to survive reboot,https://old-galaxy.ansible.com/gugu/sensu,,gugu,"name: enable sensu-client to survive reboots

Answer: service: name=sensu-client enabled=yes
",0.8831794261932373,0.40968440994403565
14,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
",data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,opensslca,33,name: Create CA CSR for self-signed certificate,https://old-galaxy.ansible.com/rhjhunt/opensslca,,rhjhunt,"name: Create CA CSR for self-signed certificate

Answer: command: openssl req -subj '/CN=ca' -sha256 -new -key {{ dds_system_tmp }}/ansible_dds/ca-key.pem
  -out {{ dds_system_tmp }}/ansible_dds/ca.csr
",0.7173799872398376,0.10905426940904796
15,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,gcloudsdk,3395,name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,MIT,darkwizard242,"name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.899188756942749,0.556141077107356
16,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",data/repos/andrelohmann/keycloak/tasks/mysql.yml,keycloak,56246,name: modify standalone.xml,https://old-galaxy.ansible.com/andrelohmann/keycloak,MIT,andrelohmann,"name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:pool
  add_children:
  - min-pool-size: '5'
  - max-pool-size: '15'
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.9036795496940613,0.5684987500319033
17,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
",data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,jenkins-slave-linux,27,name: Add node key,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,LGPL-3.0-only,pablerass,"name: Add node key

Answer: apt_key:
  url: https://deb.nodesource.com/gpgkey/nodesource.gpg.key
  state: present
",0.910438060760498,0.5391286508685107
18,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
",data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,lamp,22657,name: Check if mysql is installed or not,https://old-galaxy.ansible.com/aminvakil/lamp,,aminvakil,"name: Check if mysql is installed or not

Answer: package:
  name: mysql-server
  state: present
",0.6951718330383301,0.1382980943503645
19,"meta: flush_handlers
when: debezium_flush_handlers
",data/repos/libre_ops/debezium/tasks/main.yml,debezium,211,name: flush handlers before proceeding,https://old-galaxy.ansible.com/libre_ops/debezium,GPL-3.0-only,libre_ops,"name: flush handlers before proceeding

Answer: meta: flush_handlers
",0.8118540048599243,0.47571655750042513
20,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
",data/repos/anxs/logwatch/tasks/main.yml,logwatch,581,name: Logwatch | Remove logwatch's cronjob,https://old-galaxy.ansible.com/anxs/logwatch,MIT,anxs,"name: Logwatch | Remove logwatch's cronjob

Answer: become: true
file:
  path: /usr/local/sbin/logwatch
  state: absent
when: logwatch_cron_enabled
",0.8135450482368469,0.28315173246344666
21,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
",data/repos/itev/zoneminder/tasks/main.yml,zoneminder,46,name: Configuring permissions on zm.conf,https://old-galaxy.ansible.com/itev/zoneminder,MIT,itev,"name: Configuring permissions on zm.conf

Answer: ansible.builtin.file:
  path: /etc/zimbra/zm.conf
  owner: zimbra
  group: zimbra
  mode: '0644'
",0.8141674399375916,0.28620227090069306
22,"cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as''}'
",data/repos/community/network/integration/targets/cnos_bgp/tasks/main.yml,network,723055,name: Test BGP - enforce-first-as,https://old-galaxy.ansible.com/community/network,,community,"name: Test BGP - enforce-first-as

Answer: cnos_bgp: host= username=  password= deviceType= outputfile=./results/cnos_bgp__output.txt
  asNum='' bgpArg1='' bgpArg2=''
with_items: '{''asNum'': 33, ''bgpArg1'': ''enforce-first-as'', ''bgpArg2'': 333}'
",0.9281310439109802,0.7041749860777511
23,"command: /var/www/phabricator/bin/config set diffusion.allow-http-auth 'true'
changed_when: false
",data/repos/nowait-tools/phabricator/tasks/config.yml,phabricator,31,name: set http auth,https://old-galaxy.ansible.com/nowait-tools/phabricator,MIT,nowait-tools,"name: set http auth for yum

Answer: when: yum_proxy_username is defined and yum_proxy_password is defined
lineinfile:
  dest: /etc/yum.conf
  regexp: ^proxy
  line: proxy=
  mode: u=rw,g=r,o=r
tags: proxy
",0.7014443874359131,0.12271419006661763
24,"apt: pkg= state=latest update_cache=yes
with_items:
- dirmngr
- gnupg
- apt-transport-https
- ca-certificates
- nginx-core
",data/repos/zaiste/passenger/tasks/main.yml,passenger,46,name: install Phusion Passenger dependencies,https://old-galaxy.ansible.com/zaiste/passenger,,zaiste,"name: install Phusion Passenger dependencies

Answer: apt:
  name: ''
  state: present
with_items: libpcre3libpcre3-devlibssl-devlibcurl4-openssl-dev
",0.7365437150001526,0.20227239715703996
25,"become: true
blockinfile:
  path: /etc/network/interfaces
  marker: '# {mark} ANSIBLE IPv6 PPP CONFIG'
  block: ""auto ipv6\niface ipv6 inet ppp\n  unit 2\n  provider ipv6\n""
when: homegw_pppoe_ipv6_enable
register: result
",data/repos/yasuhiroabe/homegw-pppoe/tasks/main.yml,homegw-pppoe,26,name: modify /etc/network/interfaces for ipv6,https://old-galaxy.ansible.com/yasuhiroabe/homegw-pppoe,Apache-2.0-Short,yasuhiroabe,"name: modify /etc/network/interfaces for ipv6

Answer: lineinfile:
  dest: /etc/network/interfaces
  regexp: ^#?AddressFamily
  line: AddressFamily inet6
  state: present
become: true
notify: restart network
",0.7939047813415527,0.3734962908552777
26,"service: name=""acmetool"" state=""started"" enabled=yes
",data/repos/l-p/acmetool/tasks/acmetool_service.yml,acmetool,335,name: Start acmetool,https://old-galaxy.ansible.com/l-p/acmetool,MIT,l-p,"name: Start acmetool service

Answer: ansible.builtin.systemd:
  name: acmetool
  state: started
  enabled: true
  daemon_reload: true
",0.8173354268074036,0.24659605631400075
27,"apt:
  name:
  - python
  - python-flask
  - python-requests
  - python-pillow
",data/repos/stuvusit/mattermost-github-integration/tasks/main.yml,mattermost-github-integration,14,name: Install required packages,https://old-galaxy.ansible.com/stuvusit/mattermost-github-integration,,stuvusit,"name: Install required packages

Answer: ansible.builtin.package:
  name: '{{ _squid_packages[ansible_os_family] | default(_squid_packages[''default''])
    }}'
  state: present
",0.6912161111831665,0.10925024887823068
28,"pip:
  name: shade
  state: present
",data/repos/ragingpastry/os-keystone/tasks/install-packages.yml,os-keystone,13,name: Install Shade,https://old-galaxy.ansible.com/ragingpastry/os-keystone,,ragingpastry,"name: Install Shade Plugin

Answer: shell: bin/plugin install shade -Des.path.conf=/etc/elasticsearch chdir=/usr/share/elasticsearch
when: es_version_major < 2 or es_shade_enabled
notify: restart elasticsearch
",0.6585004329681396,0.07214866130361389
29,"shell: php5enmod
with_items:
- mcrypt
- pdo_mysql
",data/repos/gr360ry/snipe-it/tasks/main.yml,snipe-it,42,name: Enable php extensions,https://old-galaxy.ansible.com/gr360ry/snipe-it,MIT,gr360ry,"name: Enable php extensions

Answer: shell: phpenmod  -v  -s  && phpenmod  -v  -i  && echo ''
args:
  chdir: /tmp/
  creates: /etc/php//cli/conf.d/20-phalcon.ini
with_items: ''
when: item.status is defined and item.status|lower == ""installed""
",0.6971025466918945,0.10905746162085511
30,"set_fact:
  pip_executable: pip3
  python_executable: python3
when: use_python3|bool
",data/repos/scorpionresponse/nltk/tasks/main.yml,nltk,18,name: Set facts for python3,https://old-galaxy.ansible.com/scorpionresponse/nltk,,scorpionresponse,"name: Set facts for python3

Answer: when:
- ansible_python_version is version('3', '>=')
set_fact:
  python_major_version: 3
",0.7638385891914368,0.34014255147202754
31,"  on network logons is set to Enabled MS only
win_regedit:
  path: HKLM:\Software\Microsoft\Windows\Currentversion\Policies\System
  name: LocalAccountTokenFilterPolicy
  data: 0
  type: dword
when:
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1-memberserver
- rule_18.3.1
- patch
",data/repos/georgenalen/windows_2019_cis/tasks/section18.yml,windows_2019_cis,61,name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts,https://old-galaxy.ansible.com/georgenalen/windows_2019_cis,MIT,georgenalen,"name: SCORED | 18.3.1 | PATCH | L1 Ensure Apply UAC restrictions to local accounts

Answer:   on network logons is set to Enabled MS only
command: echo true
when:
- is_implemented
- rule_18_3_1
- not ansible_windows_domain_role == ""Primary domain controller""
tags:
- level1
- level2
- rule_18.3.1
- patch
",0.8268142342567444,0.6105364386738621
32,"copy:
  content: ''
  dest: /etc/prometheus/targets/.yml
  owner: prometheus
  group: prometheus
with_items:
- ''
loop_control:
  loop_var: sdfile
",data/repos/shelleg/prometheus/tasks/sd-create.yml,prometheus,65,name: set prometheus sd yml file,https://old-galaxy.ansible.com/shelleg/prometheus,"Apache-2.0-Short,Apache-2.0",shelleg,"name: set prometheus sd yml file

Answer: template:
  src: prometheus-sd-file.yml.j2
  dest: /etc/prometheus/prometheus-sd-file.yml
  owner: prometheus
  group: prometheus
  mode: u=rw,g=r,o=r
",0.7897740602493286,0.45621255023447943
33,"include_tasks: configuration-server.yml
loop: ''
loop_control:
  loop_var: automysqlbackup_current_configuration
  label: ''
",data/repos/belgotux/automysqlbackup/tasks/configuration.yml,automysqlbackup,11,name: create the differents configurations and credentials files for each server,https://old-galaxy.ansible.com/belgotux/automysqlbackup,GPL-3.0-only,belgotux,"name: create the differents configurations and credentials files for each server

Answer: template:
  src: server_.j2
  dest: /etc/ldap/slapd.d/
  owner: root
  group: root
  mode: 420
with_items:
- server_base
- server_ldapi
- server_ldaps
",0.6826072931289673,0.15528623176221196
34,"when: elasticsearch_curator_enabled
tags:
- elasticsearch-curator
block:
- name: Install pip package
  package:
    name: python3-pip
    state: present
  tags:
  - elasticsearch-curator
- name: Install elasticsearch pip
  when: elasticsearch_curator_library | default(False)
  pip:
    name: elasticsearch
    state: present
    version: ''
  tags:
  - elasticsearch-curator
- name: Install curator pip
  pip:
    name: elasticsearch-curator
    state: present
    version: 8.0.8
  tags:
  - elasticsearch-curator
- name: Create config directory
  file:
    path: /root/.curator
    owner: root
    group: root
    mode: u=rwX,g=rX,o=
    state: directory
  tags:
  - elasticsearch-curator
- name: Write general config
  notify:
  - Restart curator
  template:
    src: config.j2
    dest: /root/.curator/curator.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write actions config
  notify:
  - Restart curator
  template:
    src: actions.j2
    dest: /root/.curator/actions.yml
    owner: root
    group: root
    mode: u=rw,g=r,o=
  tags:
  - elasticsearch-curator
- name: Write timer file
  notify:
  - Restart curator
  template:
    src: timer.j2
    dest: /etc/systemd/system/curator.timer
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Write service file
  notify:
  - Restart curator
  template:
    src: service.j2
    dest: /etc/systemd/system/curator.service
    owner: root
    group: root
    mode: u=rw,g=r,o=r
  tags:
  - elasticsearch-curator
- name: Start curator timer
  systemd:
    name: curator.timer
    state: started
    daemon_reload: true
    masked: false
    enabled: true
  tags:
  - elasticsearch-curator
",data/repos/rolehippie/elasticsearch_curator/tasks/main.yml,elasticsearch_curator,13,name: Install if enabled,https://old-galaxy.ansible.com/rolehippie/elasticsearch_curator,"Apache-2.0-Short,Apache-2.0",rolehippie,"name: Install if enabled

Answer: apt:
  name: ''
with_items:
- zsh
- git
become: true
when: sansible_zsh_oh_myzsh_install_zsh | default(false)
",0.6439409852027893,9.101090994429849e-06
35,"file:
  path: ''
  state: directory
  owner: greenpithumb
  group: greenpithumb
  mode: 493
with_items:
- /opt/greenpithumb-data
- '{{ greenpithumb_data_path }}/images'
",data/repos/mtlynch/ansible-role-greenpithumb/tasks/main.yml,ansible-role-greenpithumb,22,name: create greenpithumb data folders,https://old-galaxy.ansible.com/mtlynch/ansible-role-greenpithumb,"Apache-2.0-Short,Apache-2.0",mtlynch,"name: create greenpithumb data folders

Answer: file:
  path: /var/log/greenpithumb
  state: directory
  owner: postgres
  group: postgres
  mode: 448
",0.8612027764320374,0.5548989680565527
36,"lineinfile: 'dest=/etc/apache2/apache2.conf state=present regexp=""^Include.+phpmyadmin.+$""
  line=""Include /etc/phpmyadmin/apache.conf"" insertafter=""EOF""

  '
notify: restart apache
when: ansible_os_family == ""Debian""
",data/repos/paulthed/phpmyadmin/tasks/main.yml,phpmyadmin,24,name: Ensure PHPMyAdmin config file is included in Apache config (Debian).,https://old-galaxy.ansible.com/paulthed/phpmyadmin,,paulthed,"name: Ensure PHPMyAdmin config file is included in Apache config (Debian).

Answer: ansible.builtin.template:
  src: templates/apache/phpmyadmin.conf.j2
  dest: /etc/apache2/sites-available/phpmyadmin.conf
  mode: '0644'
when: ansible_os_family == 'Debian'
",0.8103438019752502,0.43148256054780054
37,"set_fact: glance_api_service=""openstack-glance-api""
when: ansible_os_family == 'RedHat'
",data/repos/dguerri/openstack-glance/tasks/facts.yml,openstack-glance,22,name: Set service facts,https://old-galaxy.ansible.com/dguerri/openstack-glance,"Apache-2.0-Short,Apache-2.0",dguerri,"name: Set service facts

Answer: ansible.builtin.service_facts: null
",0.7506008744239807,0.26234510566242186
38,"devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",data/repos/devopsarr/sonarr/integration/targets/sonarr_language_info/tasks/main.yml,sonarr,688,name: list all languages,https://old-galaxy.ansible.com/devopsarr/sonarr,,devopsarr,"name: list all languages

Answer: devopsarr.sonarr.sonarr_language_info:
  sonarr_api_key: ''
  sonarr_url: ''
register: result
",0.9375835657119751,0.7312004386700351
39,"apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  update_cache: true
",data/repos/hitotito/kubernete/tasks/main.yml,kubernete,40,name: add kubernete repository,https://old-galaxy.ansible.com/hitotito/kubernete,,hitotito,"name: add kubernete repository

Answer: apt_repository:
  repo: deb http://apt.kubernetes.io/ kubernetes-xenial main
  state: present
  filename: kubernetes
  update_cache: true
become: true
",0.9297233819961548,0.5989259550191371
40,"command: python -V
changed_when: false
ignore_errors: true
register: python_version
",data/repos/cloud3rsio/set_alternative_python_path/tasks/main.yml,set_alternative_python_path,46,name: Check python,https://old-galaxy.ansible.com/cloud3rsio/set_alternative_python_path,MIT,cloud3rsio,"name: Check python version

Answer: command: python --version
register: python_installed_version
changed_when: false
ignore_errors: true
",0.8854283690452576,0.5786549379698736
41,"community.postgresql.postgresql_user:
  name: synapse
  password: YOURDATABASESECRETHERE
become: true
become_user: postgres
when: not ansible_check_mode
",data/repos/madic-/matrix-synapse-auto-deploy/tasks/postgres.yml,matrix-synapse-auto-deploy,166,name: Creating synapse user in postgres,https://old-galaxy.ansible.com/madic-/matrix-synapse-auto-deploy,,madic-,"name: Creating synapse user in postgres

Answer: sudo: true
user:
  name: synapse
  comment: Synapse Admin Service
  shell: /bin/nologin
  createhome: false
  system: true
",0.755805253982544,0.34316383680946394
42,"get_url:
  url: https://bootstrap.pypa.io/pip/2.7/get-pip.py
  dest: /tmp/get-pip.py
",data/repos/gacruxm4/docker/tasks/main.yml,docker,14,name: download pip script,https://old-galaxy.ansible.com/gacruxm4/docker,,gacruxm4,"name: download pip script

Answer: get_url:
  url: https://bootstrap.pypa.io/get-pip.py
  dest: /tmp/get-pip.py
",0.9359413981437683,0.6895321832121761
43,"shell: rpm -ivh jdk-8u171-linux-x64.rpm
register: java
",data/repos/kukareja_simran/hadoop_masternode/tasks/main.yml,hadoop_masternode,8,name: Install java on namenode,https://old-galaxy.ansible.com/kukareja_simran/hadoop_masternode,,kukareja_simran,"name: Install java on namenode

Answer: yum: pkg=oracle-java8-installer state=present
",0.7495993375778198,0.11330553680151682
44,"template:
  src: jdev-command.j2
  dest: /usr/bin/jdev
  mode: u=rwx,g=rx,o=rx
",data/repos/jeqo/oracle-soa/tasks/create-jdev-link.yml,oracle-soa,42,name: create link to jdev,https://old-galaxy.ansible.com/jeqo/oracle-soa,MIT,jeqo,"name: create link to jdev.jdev

Answer: file:
  src: /usr/java/latest/bin/jdev
  dest: /usr/java/latest/bin/jdev.jdev
  state: link
when: jdev_directory.stat.exists == True
",0.7822805643081665,0.25419535519618497
45,"sudo: true
apt: pkg=git
",data/repos/dexhorthy/git/tasks/install_from_ppa.yml,git,59,name: Install from ppa | Install git | apt package,https://old-galaxy.ansible.com/dexhorthy/git,MIT,dexhorthy,"name: Install from ppa | Install git | apt package

Answer: apt:
  name: ''
  state: present
  update_cache: true
when: ansible_distribution == 'Ubuntu'
",0.7321640253067017,0.07319596511937708
46,"apt_repository:
  repo: deb https://{{ syncthing_apt_repository_host }}/ syncthing release
  state: present
when: not syncthing_use_debian_repository
",data/repos/spk/syncthing-debian/tasks/main.yml,syncthing-debian,1532,name: Add Syncthing repository,https://old-galaxy.ansible.com/spk/syncthing-debian,BSD-3-Clause,spk,"name: Add Syncthing repository

Answer: apt_repository:
  repo: deb http://syncthing.net/downloads/linux/debian buster main
  state: present
  update_cache: true
when: ansible_os_family == ""Debian""
",0.8370650410652161,0.47615428321095243
47,"assert:
  that: nodejs_version in [ ""0.10"", ""0.12"", ""4.x"", ""5.x"" ]
when: ansible_os_family == ""Debian"" and node_present|failed
tags: -nodejs -setup
",data/repos/softasap/sa-swagger-editor/tasks/tasks_nodejs.yml,sa-swagger-editor,15,name: NodeJS | Check nodejs_version variable,https://old-galaxy.ansible.com/softasap/sa-swagger-editor,,softasap,"name: NodeJS | Check nodejs_version variable

Answer: ansible.builtin.assert:
  that:
  - nodejs_version is defined
  - nodejs_version is string
  - nodejs_version is not none
  quiet: true
",0.7505210638046265,0.30885136702758825
48,"apt: pkg=python-pip
when: ansible_os_family == 'Debian'
",data/repos/valentinzberea/supervisor/tasks/supervisor.yml,supervisor,77,name: Install dependencies,https://old-galaxy.ansible.com/valentinzberea/supervisor,MIT,valentinzberea,"name: Install dependencies

Answer: apt: pkg=
with_items:
- unzip
when: ansible_os_family == 'Debian'
become: true
become_method: sudo
",0.8122443556785583,0.35241806765953015
49,"mount:
  name: /tmp/vbox
  src: /home/vagrant/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",data/repos/olidrouin/packer_rhel/tasks/virtualbox.yml,packer_rhel,41,name: Mount VirtualBox guest additions ISO.,https://old-galaxy.ansible.com/olidrouin/packer_rhel,MIT,olidrouin,"name: Mount VirtualBox guest additions ISO.

Answer: mount:
  name: /tmp/vbox
  src: /home/industrial/VBoxGuestAdditions_.iso
  opts: loop
  state: mounted
  fstype: iso9660
",0.9288379549980164,0.6357083687818141
50,"template:
  src: zabbix_agentd.conf.j2
  dest: /etc/zabbix/zabbix_agentd.conf
  mode: 420
notify: restart_zabbix_agent_systemd
",data/repos/youyo/zabbix40_agent/tasks/el7.yml,zabbix40_agent,36,name: Configurations,https://old-galaxy.ansible.com/youyo/zabbix40_agent,,youyo,"name: Configurations

Answer: become: true
template:
  src: config.yaml.j2
  dest: /opt/aws/amazon-cloudwatch-agent/bin/amazon-cloudwatch-agent.json
  mode: 420
notify: restart amazon-cloudwatch-agent
",0.8117281198501587,0.37046909194714456
